"instanceType","isEnabled","uuid:ID","id","label","name","datatype","isRequired"
"BiomedicalConceptProperty","True","44bada71-6ae9-464c-9c94-b5419e8a6749","BiomedicalConceptProperty_116","DSDECOD","DSDECOD","text","True"
"BiomedicalConceptProperty","True","ed901ec7-5268-499a-8529-107b16857fcd","BiomedicalConceptProperty_117","DSTERM","DSTERM","text","True"
"BiomedicalConceptProperty","True","f8cc3499-aaa0-4f3f-8cd2-ea01ce0bca4f","BiomedicalConceptProperty_118","DSSTDTC","DSSTDTC","datetime","True"
"BiomedicalConceptProperty","True","befead39-6c1c-4ce8-9225-2743138cbdc2","BiomedicalConceptProperty_119","Sex","Sex","string","True"
"BiomedicalConceptProperty","True","9baceb1a-264a-40d4-a48f-39c7327616e6","BiomedicalConceptProperty_120","Race","Race","string","True"
"BiomedicalConceptProperty","True","88252d6d-6e42-44e0-8841-2c20127ccf59","BiomedicalConceptProperty_121","VSTESTCD","VSTESTCD","","True"
"BiomedicalConceptProperty","True","00ed0857-2d3a-4170-8772-2462d306be08","BiomedicalConceptProperty_122","VSORRES","VSORRES","float","True"
"BiomedicalConceptProperty","True","d7074f4b-7f50-4678-9044-46323268822c","BiomedicalConceptProperty_123","VSORRESU","VSORRESU","","True"
"BiomedicalConceptProperty","True","2b7e0e14-0d69-437e-9f7a-5fb819b8a565","BiomedicalConceptProperty_124","VSLOC","VSLOC","","True"
"BiomedicalConceptProperty","True","f7752f49-f946-4265-8675-71609a0fc694","BiomedicalConceptProperty_125","VSTESTCD","VSTESTCD","","True"
"BiomedicalConceptProperty","True","71cee59b-0a11-4b86-84ab-4a0d63ecdc1a","BiomedicalConceptProperty_126","VSORRES","VSORRES","float","True"
"BiomedicalConceptProperty","True","ad77fb4c-51a6-4caf-a912-594a8157103b","BiomedicalConceptProperty_127","VSORRESU","VSORRESU","","True"
"BiomedicalConceptProperty","True","db27aa52-0aaa-4380-8683-ff713d8fde05","BiomedicalConceptProperty_128","VSTESTCD","VSTESTCD","","True"
"BiomedicalConceptProperty","True","a112b3dc-24a6-4241-b987-326cf7a05f8f","BiomedicalConceptProperty_129","VSORRES","VSORRES","float","True"
"BiomedicalConceptProperty","True","0a898d27-ae65-45c9-b554-c74f075260e3","BiomedicalConceptProperty_130","VSORRESU","VSORRESU","","True"
"BiomedicalConceptProperty","True","0dd21d6c-d20e-43ac-b7ad-cada9f1a8aa3","BiomedicalConceptProperty_131","LBTESTCD","LBTESTCD","","True"
"BiomedicalConceptProperty","True","fe0d626c-b207-4aed-a6b8-09629cec3982","BiomedicalConceptProperty_132","LBORRES","LBORRES","float","True"
"BiomedicalConceptProperty","True","8b49e267-b422-41e1-a6a0-bc2ebb77084c","BiomedicalConceptProperty_133","LBORRESU","LBORRESU","","True"
"BiomedicalConceptProperty","True","45efa9d0-13aa-4f9f-9e42-26eb63944809","BiomedicalConceptProperty_134","LBSPEC","LBSPEC","","True"
"BiomedicalConceptProperty","True","14a1537b-d5fa-4b70-b579-6897af087771","BiomedicalConceptProperty_135","LBFAST","LBFAST","","True"
"BiomedicalConceptProperty","True","6b6dbb2a-c642-472c-9747-0b5381ac686f","BiomedicalConceptProperty_136","LBTESTCD","LBTESTCD","","True"
"BiomedicalConceptProperty","True","853b8aa7-74db-4d7b-9f1c-c569857d29a6","BiomedicalConceptProperty_137","LBORRES","LBORRES","text","True"
"BiomedicalConceptProperty","True","db118f2b-dd5b-4c71-bd2c-ea3ae38786ff","BiomedicalConceptProperty_138","LBSPEC","LBSPEC","","True"
"BiomedicalConceptProperty","True","7ca20a1d-2b5a-43c3-88eb-1306534aaf74","BiomedicalConceptProperty_139","LBFAST","LBFAST","","True"
"BiomedicalConceptProperty","True","64c03c5e-4a1a-4917-a9a6-9738c69ebf07","BiomedicalConceptProperty_140","LBTESTCD","LBTESTCD","","True"
"BiomedicalConceptProperty","True","694a7c97-98c3-4e9a-bd3c-7ddf162bf573","BiomedicalConceptProperty_141","LBORRES","LBORRES","float","True"
"BiomedicalConceptProperty","True","cb8f2d5f-918b-48ea-92ce-0324078ef20b","BiomedicalConceptProperty_142","LBORRESU","LBORRESU","","True"
"BiomedicalConceptProperty","True","f0432f0f-4921-4b07-9b95-ebaaebf5f320","BiomedicalConceptProperty_143","LBSPEC","LBSPEC","","True"
"BiomedicalConceptProperty","True","6bc2a79b-f20d-45b1-9fca-1f3734ae395f","BiomedicalConceptProperty_144","LBFAST","LBFAST","","True"
"BiomedicalConceptProperty","True","d79f4169-d63e-4183-aac6-6bc9a1300f30","BiomedicalConceptProperty_145","LBTESTCD","LBTESTCD","","True"
"BiomedicalConceptProperty","True","76d048c8-6674-4f41-9954-50958fa92576","BiomedicalConceptProperty_146","LBORRES","LBORRES","float","True"
"BiomedicalConceptProperty","True","41d34559-e7f2-49dd-9d54-32a963a2da8b","BiomedicalConceptProperty_147","LBORRESU","LBORRESU","","True"
"BiomedicalConceptProperty","True","ba6232de-94a4-43fd-a29f-e45ab220b256","BiomedicalConceptProperty_148","LBSPEC","LBSPEC","","True"
"BiomedicalConceptProperty","True","68d8a315-7e17-4442-89f7-14c2ed0b7a6e","BiomedicalConceptProperty_149","LBFAST","LBFAST","","True"
"BiomedicalConceptProperty","True","52e7c427-c0b5-4228-bede-43bbf6f708e2","BiomedicalConceptProperty_150","LBTESTCD","LBTESTCD","","True"
"BiomedicalConceptProperty","True","6669df35-e303-4463-9fdd-f18fc17fcc3c","BiomedicalConceptProperty_151","LBORRES","LBORRES","float","True"
"BiomedicalConceptProperty","True","8f31f356-2173-4ccd-ae5e-9c13c59030ff","BiomedicalConceptProperty_152","LBORRESU","LBORRESU","","True"
"BiomedicalConceptProperty","True","5d92034e-f446-4fe8-83ff-49390b0b9aa9","BiomedicalConceptProperty_153","LBSPEC","LBSPEC","","True"
"BiomedicalConceptProperty","True","b52e272c-fd00-4e37-aa13-34855bcff5f9","BiomedicalConceptProperty_154","LBFAST","LBFAST","","True"
"BiomedicalConceptProperty","True","57d8076d-c7af-45e4-a7e6-98b65e2d2b7b","BiomedicalConceptProperty_155","LBTESTCD","LBTESTCD","","True"
"BiomedicalConceptProperty","True","e0412a8d-0a22-4a40-8fa2-caecc9de379a","BiomedicalConceptProperty_156","LBORRES","LBORRES","float","True"
"BiomedicalConceptProperty","True","ac0884a8-ad9b-4f7e-b6b1-372702a01adf","BiomedicalConceptProperty_157","LBORRESU","LBORRESU","","True"
"BiomedicalConceptProperty","True","3c56c1d2-c69e-477b-a687-4b5a6b952078","BiomedicalConceptProperty_158","LBSPEC","LBSPEC","","True"
"BiomedicalConceptProperty","True","2f9fa9ac-6b6c-47f0-b55c-4ccae8ab6f6b","BiomedicalConceptProperty_159","LBFAST","LBFAST","","True"
"BiomedicalConceptProperty","True","2a87bfd1-6b23-46ab-b4e5-d6b65b3678f3","BiomedicalConceptProperty_160","LBTESTCD","LBTESTCD","","True"
"BiomedicalConceptProperty","True","96ef4090-d982-4950-8ddb-3ae98267d7c4","BiomedicalConceptProperty_161","LBORRES","LBORRES","float","True"
"BiomedicalConceptProperty","True","36f4ace6-4210-4294-bae0-241c4c0d1a2d","BiomedicalConceptProperty_162","LBORRESU","LBORRESU","","True"
"BiomedicalConceptProperty","True","6a3fa6a0-0a90-4bf6-9e57-d61b0aeddd61","BiomedicalConceptProperty_163","LBSPEC","LBSPEC","","True"
"BiomedicalConceptProperty","True","24a2695a-8b5f-41b0-829c-dd1ad38eed61","BiomedicalConceptProperty_164","LBFAST","LBFAST","","True"
"BiomedicalConceptProperty","True","b18f26b5-1655-4f2d-987e-205b05a96da2","BiomedicalConceptProperty_165","LBTESTCD","LBTESTCD","","True"
"BiomedicalConceptProperty","True","45175ade-1d0d-44df-ba6f-a80f3aa2632e","BiomedicalConceptProperty_166","LBORRES","LBORRES","float","True"
"BiomedicalConceptProperty","True","684eafab-4850-4dfa-8dc7-aff7b44c896c","BiomedicalConceptProperty_167","LBORRESU","LBORRESU","","True"
"BiomedicalConceptProperty","True","abdbba7b-3e03-4fd3-84df-8caaa641264e","BiomedicalConceptProperty_168","LBSPEC","LBSPEC","","True"
"BiomedicalConceptProperty","True","eeeb32ab-9ab5-4f22-995b-b5e95b93533e","BiomedicalConceptProperty_169","LBFAST","LBFAST","","True"
"BiomedicalConceptProperty","True","ac017a32-de19-4df3-835c-4fc585ce9680","BiomedicalConceptProperty_1","AETERM","AETERM","text","True"
"BiomedicalConceptProperty","True","d4e31a70-2587-4fde-93f8-bd3aa63028b7","BiomedicalConceptProperty_2","AEDECOD","AEDECOD","text","True"
"BiomedicalConceptProperty","True","cb6417f2-3578-40ae-aaad-48858a265390","BiomedicalConceptProperty_3","AEPRESP","AEPRESP","text","True"
"BiomedicalConceptProperty","True","9a9853e0-7cc5-4494-a7bf-e9854a451742","BiomedicalConceptProperty_4","AELOC","AELOC","text","True"
"BiomedicalConceptProperty","True","9f91d361-2937-489e-b5b6-e3064eed4fdd","BiomedicalConceptProperty_5","AESEV","AESEV","text","True"
"BiomedicalConceptProperty","True","d6c87ed7-ba58-4468-9214-9d8e43a06106","BiomedicalConceptProperty_6","AESER","AESER","text","True"
"BiomedicalConceptProperty","True","2db58cc8-cb3e-4668-9174-49690973213f","BiomedicalConceptProperty_7","AEACN","AEACN","text","True"
"BiomedicalConceptProperty","True","896891f6-459e-459f-b250-2c373280f1c2","BiomedicalConceptProperty_8","AEACNOTH","AEACNOTH","text","True"
"BiomedicalConceptProperty","True","44f808b5-60b2-4e09-b5b0-39fc4479d3bb","BiomedicalConceptProperty_9","AEREL","AEREL","text","True"
