"minValue","maxValue","instanceType","uuid:ID","id","isApproximate"
"300.0","300.0","Range","f30604be-2224-488f-a727-6c817f3b0c77","Range_2","False"
"300.0","300.0","Range","8e3f6dd6-7bfd-4e92-9486-d4bdcfbc6f66","Range_1","False"
"50.0","100.0","Range","7da0d059-a4a1-43eb-bed1-9a40d5b207a6","Range_3","False"
