"id","uuid:ID","otherReason","instanceType"
"StudyAmendmentReason_1","86946fc1-f81f-48d9-b681-1e5775a6995f","","StudyAmendmentReason"
"StudyAmendmentReason_2","f4cf4d09-b4a4-430f-a0c6-6e4b59c44da8","Fix typographical errors","StudyAmendmentReason"
