"otherReason","instanceType","id","uuid:ID"
"","StudyAmendmentReason","StudyAmendmentReason_1","2986120a-80fb-4fa2-bcf0-543501def910"
"Fix typographical errors","StudyAmendmentReason","StudyAmendmentReason_2","deb70139-4e74-41bc-ac32-456788a45a9f"
