"description","label","instanceType","name","uuid:ID","id"
"Dictionary for IE","IE Dictionary","SyntaxTemplateDictionary","IE_Dict","7734ce30-7ddc-49e1-81c6-b30910850ea3","SyntaxTemplateDictionary_1"
"Dictionary for Study Assessments","Assessment Dictionary","SyntaxTemplateDictionary","AS_Dict","7b94c940-18e5-41f8-8e4c-98ae6a1863f5","SyntaxTemplateDictionary_2"
