"label","isRequired","instanceType","datatype","name","uuid:ID","isEnabled","id"
"DSDECOD","True","BiomedicalConceptProperty","text","DSDECOD","72f86571-93a5-4001-a7d8-49c7b79e3815","True","BiomedicalConceptProperty_116"
"DSTERM","True","BiomedicalConceptProperty","text","DSTERM","f18d4063-4058-42db-ac3f-e7e6279141cd","True","BiomedicalConceptProperty_117"
"DSSTDTC","True","BiomedicalConceptProperty","datetime","DSSTDTC","7c82a477-3427-48b0-8d5c-2e5cf952a235","True","BiomedicalConceptProperty_118"
"Sex","True","BiomedicalConceptProperty","string","Sex","c97ecc05-6084-440e-8b03-df3075041a42","True","BiomedicalConceptProperty_119"
"Race","True","BiomedicalConceptProperty","string","Race","4518557c-5a19-4113-af34-65c05b12f115","True","BiomedicalConceptProperty_120"
"VSTESTCD","True","BiomedicalConceptProperty","","VSTESTCD","c7012bad-5e2a-463d-b4a6-ff624bcfbc99","True","BiomedicalConceptProperty_121"
"VSORRES","True","BiomedicalConceptProperty","float","VSORRES","162a45eb-ae84-48ec-af14-5737bc9c66d2","True","BiomedicalConceptProperty_122"
"VSORRESU","True","BiomedicalConceptProperty","","VSORRESU","411ce34d-8cdb-44ab-a9fe-7fd1fb8b5fa7","True","BiomedicalConceptProperty_123"
"VSLOC","True","BiomedicalConceptProperty","","VSLOC","5499a2c3-5a9c-489a-8d55-4ed4b13e70de","True","BiomedicalConceptProperty_124"
"VSTESTCD","True","BiomedicalConceptProperty","","VSTESTCD","e9274453-5b1c-4651-846e-0fcc05d9811f","True","BiomedicalConceptProperty_125"
"VSORRES","True","BiomedicalConceptProperty","float","VSORRES","4af725b9-0e58-47a2-a607-016274cd31da","True","BiomedicalConceptProperty_126"
"VSORRESU","True","BiomedicalConceptProperty","","VSORRESU","c0c752d3-dcd6-4342-be14-a5c41b14bfb1","True","BiomedicalConceptProperty_127"
"VSTESTCD","True","BiomedicalConceptProperty","","VSTESTCD","9ecb46a5-bfa9-48bf-b148-f97b62b8a7c5","True","BiomedicalConceptProperty_128"
"VSORRES","True","BiomedicalConceptProperty","float","VSORRES","3e4cfdba-3580-4572-8026-da3509f9a32e","True","BiomedicalConceptProperty_129"
"VSORRESU","True","BiomedicalConceptProperty","","VSORRESU","ffd163c2-f860-4529-8380-1e25e87b8c6e","True","BiomedicalConceptProperty_130"
