"dateValue","uuid:ID","id","name","label","description"
"2006-07-01","b8f55137-6e3f-4d3f-aecd-9221418aef1f","GovernanceDate_1","Approval","Design Approval","Design approval date"
"2006-07-01","d1694fe5-3960-438c-930b-5bf01721b863","GovernanceDate_2","Approval","Protocol Approval","Protocol document approval date"
