"id","standardCodeAliases","uuid:ID"
"AliasCode_1","[]","72ce9ba2-430f-4acd-9ac9-178c80ce0815"
"AliasCode_3","[]","0deae182-7b1f-4a6f-8a28-340ad1752b7b"
"AliasCode_4","[]","cb6308d8-6de5-4a41-bea0-19afc8e1c3f0"
"AliasCode_109","[]","afb9e578-3940-496c-a1fa-4263a20c7891"
"AliasCode_110","[]","dfd18a31-8794-49e7-aa60-2b7f3ce96f96"
"AliasCode_111","[]","b5a5f8a3-4782-4375-aa86-29fb788ce9c0"
"AliasCode_108","[]","aa66fb5c-1c7c-41c5-a8d6-296ac4f64f5f"
"AliasCode_113","[]","a57d06e5-381d-4602-8b19-4bea930b1970"
"AliasCode_114","[]","268596b8-dce6-4270-a6a9-b52a7d91ec2e"
"AliasCode_112","[]","3f218532-65e0-43bc-ab0c-241a990e1964"
"AliasCode_116","[]","dc0bdb9d-2386-4001-9616-5dbb56207109"
"AliasCode_117","[]","f1cd2b28-4cb1-41cd-95e6-db9eac55ee5b"
"AliasCode_115","[]","2106d1e6-148d-4e9f-afa5-3b1cfe0811f7"
"AliasCode_119","[]","35e3bcff-0843-4cfb-a1af-ccd27fe8cb73"
"AliasCode_120","[]","09381f10-6745-4288-b6ee-79021b00b581"
"AliasCode_121","[]","1391a2ba-2ec7-4401-aaf0-d5af0e3844fe"
"AliasCode_122","[]","15378890-6dee-4908-866c-8c1eaa3836fc"
"AliasCode_118","[]","822f45ae-eca3-4bc9-b906-a55f4701652d"
"AliasCode_124","[]","cbd25a57-3a64-4586-8609-a0960acab31a"
"AliasCode_125","[]","4cf909ec-2c90-4115-993b-ae0a02b8be75"
"AliasCode_126","[]","82bd2e2e-4db8-4700-92b2-29f667b35807"
"AliasCode_127","[]","8f9912ed-acb8-437f-b6f7-eb9984973597"
"AliasCode_123","[]","2bb11bc7-35f7-423b-8615-20a26d8d5b25"
"AliasCode_129","[]","4f82a21f-5fa7-4129-9e63-a4dc98b14031"
"AliasCode_130","[]","63f8dad0-e1f8-431c-817e-b891f5e83d49"
"AliasCode_131","[]","51c8efd5-ef3d-4ce7-83dd-a92561bcd5f7"
"AliasCode_132","[]","134719a6-e5c8-4ac2-a24d-25aeae0b32c9"
"AliasCode_128","[]","5acde1c6-940b-4438-88bf-86f60b6e51de"
"AliasCode_134","[]","301744ca-0820-4d0a-a8c2-2921d4eb839e"
"AliasCode_135","[]","da0d4c1f-2ee8-47f4-a471-d7486c08d0cd"
"AliasCode_136","[]","6c14e8a4-1207-483a-965d-c1c958cd5602"
"AliasCode_137","[]","04c3221c-710d-401c-b085-1ef1a93be036"
"AliasCode_133","[]","66a1c66c-57aa-4c21-bb9d-c4cb1fbf7b84"
"AliasCode_139","[]","fbac9a17-98ee-4fcf-aca2-a517b217ab09"
"AliasCode_140","[]","604d51be-055c-4a14-84ba-fd4a2921e4fa"
"AliasCode_141","[]","0ceb9db0-6f71-41cd-a3af-f622a207c208"
"AliasCode_142","[]","d2ea334a-90a1-4119-ad1d-f4723c060d9b"
"AliasCode_138","[]","6d6f6c7b-e4b7-4775-a297-2a7562623ad8"
"AliasCode_144","[]","7832a124-1087-45bd-9085-ff2be3663370"
"AliasCode_145","[]","6e90f8b5-0ca2-4f9a-9f06-f6feef9cb7c3"
"AliasCode_146","[]","d4fb7877-42b4-4959-9e27-10d627e65ab3"
"AliasCode_147","[]","fff8a1bb-a2ee-42cc-b868-cd2c489eced8"
"AliasCode_143","[]","6f0f984a-7f22-4a97-a99e-b7eb99795e81"
"AliasCode_149","[]","4cab1817-54fa-416b-9ce1-dc6fe8ace6c2"
"AliasCode_150","[]","cf275d81-9a19-4a79-ab36-3afc972a0832"
"AliasCode_151","[]","4cc121b0-5ef0-465d-b93f-78b5198d6ec1"
"AliasCode_152","[]","9bf175fc-6ad9-4b26-8c84-0684d4504ec0"
"AliasCode_148","[]","1b2ca73f-b3ba-430b-b59c-b4a80a04a898"
"AliasCode_7","[]","6a6f34d3-71e4-4533-811d-ea0634f35af8"
"AliasCode_8","[]","331a5819-7270-4d60-b631-85dc7db26a6e"
"AliasCode_9","[]","8e6bb42c-5010-4dfe-8e11-d90c28a35a51"
"AliasCode_10","[]","ba9a98bc-bbd7-4b16-9b06-e8b145555794"
"AliasCode_11","[]","6bd69b4e-5935-44b2-b73d-becef3b1cc3b"
"AliasCode_12","[]","b898a0aa-b584-4dc9-b370-5e7d695a3d22"
"AliasCode_13","[]","32b16109-6e57-4ad6-a2bf-971e3fa1abef"
"AliasCode_14","[]","fbf79e76-3c28-420d-a6c1-36ac2e2f8cbe"
"AliasCode_15","[]","a08a658e-41c7-4df5-9c90-d0a97c0abb41"
"AliasCode_16","[]","97427051-74d6-4367-aa12-3caf27356ed5"
"AliasCode_17","[]","5f4a9d18-29cc-45c3-9935-10258ed7bd19"
"AliasCode_18","[]","af929af0-d461-4420-82f7-6564d6160f71"
"AliasCode_19","[]","b97b4b24-8ced-40d0-9427-86ecd2d30012"
"AliasCode_20","[]","1a3054c8-a280-49ee-89e5-ace5e1c2c7c2"
"AliasCode_6","[]","24ce5b5f-e899-4a38-aa19-207486d85a50"
"AliasCode_22","[]","e669e8a8-bd91-4a72-ba45-4c474c7da65f"
"AliasCode_23","[]","3e4c2fb5-531a-46d5-8ad4-4edb2fee0e94"
"AliasCode_24","[]","9bb872bb-68fd-454e-b20f-1b461eed9b20"
"AliasCode_25","[]","d0767ac8-b949-4558-a81f-92bff6990cec"
"AliasCode_26","[]","26578edc-af44-42da-82aa-62ac885a6299"
"AliasCode_27","[]","773cff73-c93d-4669-b6ee-ff257affd846"
"AliasCode_21","[]","c2377aab-d7e6-4bab-bb37-2099e4eba2fd"
"AliasCode_29","[]","89803b4e-d680-49ed-b0b1-81087c41d934"
"AliasCode_30","[]","14491f75-21b3-4c4f-b1f2-7c7a1b2d2429"
"AliasCode_31","[]","6373e937-6d74-4528-99ab-899b3ad114f8"
"AliasCode_32","[]","aeafccd9-4cde-48c0-84fe-36be4092427b"
"AliasCode_33","[]","f8069b56-cdf9-450a-afa4-65ca7f883cf1"
"AliasCode_34","[]","f362b2c5-082a-4982-aba0-969651894840"
"AliasCode_28","[]","06959001-28b2-4772-b267-5ce81fff066a"
"AliasCode_36","[]","b3f748af-a5d4-4355-a8ac-9c5b20b42465"
"AliasCode_37","[]","160b5a34-b4f5-497a-91e9-039bbde37f1c"
"AliasCode_38","[]","71035bf5-825d-4522-a9f3-3fe80f3b11ec"
"AliasCode_35","[]","10393319-8f6f-48ac-93fc-8c1062068471"
"AliasCode_40","[]","e0dadb07-a1cd-4a32-8d2f-bedffe9b82ce"
"AliasCode_41","[]","f2ff0a1e-11d8-47b3-a458-e5f2700c1b5d"
"AliasCode_39","[]","86e29cc2-cdfd-46c1-993a-ec5dbbb2c4c9"
"AliasCode_43","[]","26d44229-1f97-4b66-be5c-9072cd2f1346"
"AliasCode_44","[]","e3298f2b-08ed-4401-a09e-1c0ec0812ee7"
