"uuid:ID","name","label","description","id","parameterMap","instanceType"
"39542e13-da1d-4470-b86f-1e37fb948406","IE_Dict","IE Dictionary","Dictionary for IE","SyntaxTemplateDictionary_1","{'min_age': '<usdm:ref klass=""Range"" id=""Range_3"" attribute=""minValue""></usdm:ref>', 'max_age': '<usdm:ref klass=""Range"" id=""Range_3"" attribute=""maxValue""></usdm:ref>', 'StudyPopulation': '<usdm:ref klass=""StudyDesignPopulation"" id=""StudyDesignPopulation_1"" attribute=""description""></usdm:ref>'}","SyntaxTemplateDictionary"
"edba25f2-7063-44bf-b46d-21f9452ed43d","AS_Dict","Assessment Dictionary","Dictionary for Study Assessments","SyntaxTemplateDictionary_2","{'Activity1': '<usdm:ref klass=""Activity"" id=""Activity_6"" attribute=""label""></usdm:ref>', 'Activity2': '<usdm:ref klass=""Activity"" id=""Activity_5"" attribute=""label""></usdm:ref>'}","SyntaxTemplateDictionary"
