"uuid:ID","maxValue","minValue","id","isApproximate","instanceType"
"9d2a2d28-41ff-4e44-8564-0e0f2be4ee7b","300.0","300.0","Range_2","False","Range"
"353b7baf-8750-4f72-a157-f482951969c7","300.0","300.0","Range_1","False","Range"
"a74ee670-4164-44ae-95a7-d0b74c8fde5d","100.0","50.0","Range_3","False","Range"
