"name","description","instanceType","label","parameterMap","uuid:ID","id"
"IE_Dict","Dictionary for IE","SyntaxTemplateDictionary","IE Dictionary","{'min_age': {'klass': 'Range', 'id': 'Range_3', 'attribute': 'maxValue'}, 'max_age': {'klass': 'Range', 'id': 'Range_3', 'attribute': 'minValue'}, 'StudyPopulation': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'description'}}","372d7098-65f0-4168-a4b7-e34144201404","SyntaxTemplateDictionary_1"
"AS_Dict","Dictionary for Study Assessments","SyntaxTemplateDictionary","Assessment Dictionary","{'Activity1': {'klass': 'Activity', 'id': 'Activity_6', 'attribute': 'label'}}","705611fb-4ba1-4085-8191-7d9bcf8ecfc9","SyntaxTemplateDictionary_2"
