"uuid:ID","instanceType","otherReason","id"
"2bc34c51-11c5-4e97-9615-b466b72c47c6","StudyAmendmentReason","","StudyAmendmentReason_1"
"16485533-66a1-47a5-aa2c-5b6db0cb7b0f","StudyAmendmentReason","Fix typographical errors","StudyAmendmentReason_2"
