"name","description","instanceType","label","uuid:ID","id"
"Screening","Screening Epoch","StudyEpoch","Screening","126ef28a-1692-46ac-b68b-afdc4cf4a05c","StudyEpoch_1"
"Treatment 1","Treatment Epoch","StudyEpoch","Treatment One","558f29c9-cb36-4772-9156-d24dce3dfbc8","StudyEpoch_2"
"Treatment 2","Treatment Epoch","StudyEpoch","Treatment Two","601bef61-f2cb-4c67-a395-13f45176b031","StudyEpoch_3"
"Treatment 3","Treatment Epoch","StudyEpoch","Treatment Three","c75be314-9b7d-4cd1-a9b5-1e9e09a64467","StudyEpoch_4"
"Follow-Up","Follow-up Epoch","StudyEpoch","Follow Up","8b9d3da7-ec17-4a77-a257-10b93dcef89a","StudyEpoch_5"
