"id:ID","uuid","name","description","parameterMap","label","id","text"
"818","bf78f635-abce-4f2a-901b-b8ce21f92610","IE_Dict","Dictionary for IE","{'min_age': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'plannedMinimumAgeOfParticipants'}, 'max_age': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'plannedMaximumAgeOfParticipants'}, 'StudyPopulation': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'populationDescription'}}","IE Dictionary","SyntaxTemplateDictionary_1",""
"819","e00d5bad-547e-4506-a982-26c0d76532bc","AS_Dict","Dictionary for Study Assessments","{'Activity1': {'klass': 'Activity', 'id': 'Activity_6', 'attribute': 'label'}}","Assessment Dictionary","SyntaxTemplateDictionary_2",""
