"id:ID","standardCodeAliases","uuid","id"
"314","[]","bfe14187-4d4f-46bc-8535-63f7f6189517","AliasCode_1"
"315","[]","837d0399-edcb-4e3d-8438-db0d8bc419b2","AliasCode_3"
"316","[]","5aa2fe53-360d-49f3-929b-d3c4b7603f61","AliasCode_4"
"317","[]","60a341f6-5273-4b16-9567-eb631ab9f793","AliasCode_109"
"318","[]","35190c95-a335-4744-bc87-5bcfb6e4a4dc","AliasCode_110"
"319","[]","92cfdb54-70b2-4557-8352-241704088871","AliasCode_111"
"320","[]","5d378c49-d023-42cb-b9bf-4b1512d54956","AliasCode_108"
"321","[]","65f0c60e-670f-46f1-9b3f-d2e4e2ef3b24","AliasCode_113"
"322","[]","976259f0-97d2-4a81-884b-831ef456dfc6","AliasCode_114"
"323","[]","76664a71-fbcf-44d9-875b-34523824e882","AliasCode_112"
"324","[]","e85c9ddb-75f9-4ecb-96e4-8297d3b95fbe","AliasCode_116"
"325","[]","e1cfa376-8fa6-4167-996a-64a50770df60","AliasCode_117"
"326","[]","ffe8eff1-7be1-4785-902d-fb8d017a210a","AliasCode_115"
"327","[]","531aef3e-f258-484d-91ed-e7352b554425","AliasCode_119"
"328","[]","6306b1ab-2799-4d2a-ae69-24ca312964c7","AliasCode_120"
"329","[]","b5188178-3fef-494d-a2f4-d2f454c84963","AliasCode_121"
"330","[]","5e1e9c8c-9297-4d2b-8003-069d48568bfb","AliasCode_122"
"331","[]","bbff7109-5eff-4212-bf81-4913e999b111","AliasCode_118"
"332","[]","4747b74c-b624-48b2-9d4b-6f55529a2209","AliasCode_124"
"333","[]","7614813f-afb8-4555-9e47-0c0aec5cd5a4","AliasCode_125"
"334","[]","b6270e3e-cd23-4ece-b8db-4ba2b1f88a6d","AliasCode_126"
"335","[]","ec0e9b50-903d-422a-aca5-602b45207439","AliasCode_127"
"336","[]","096974ac-c97d-4fb4-8930-02c75e4ec5ab","AliasCode_123"
"337","[]","754ce37c-eb68-4853-ae03-1607ba31c38a","AliasCode_129"
"338","[]","e8e3a6da-0cc6-4e65-9003-f90749d3e60e","AliasCode_130"
"339","[]","00b41500-b7ca-4b49-ae9a-bd68eac97d91","AliasCode_131"
"340","[]","bc8b8150-1c20-4e7f-ad98-7ab53d1f24cc","AliasCode_132"
"341","[]","1d047e21-72e5-42e9-a838-2dd12773aedc","AliasCode_128"
"342","[]","d6db1de2-5276-4ead-a389-01955eb14929","AliasCode_134"
"343","[]","d0721b76-b0aa-4548-9145-64bc2c34ff4f","AliasCode_135"
"344","[]","b349eca8-d319-4db3-b856-ef94a7286b69","AliasCode_136"
"345","[]","8891f546-8a10-4a6f-9187-b75b24b730d3","AliasCode_137"
"346","[]","2b3ac3e2-70e0-4a23-a4db-715b4e2fb18c","AliasCode_133"
"347","[]","39f35805-478a-4854-a48d-3191d4a84313","AliasCode_139"
"348","[]","bae51e65-3b46-471e-b6f9-808662c1f90a","AliasCode_140"
"349","[]","976491ba-6f2e-46ec-8ffc-49525e69c028","AliasCode_141"
"350","[]","f4a768e1-10df-4eda-9889-57b216093608","AliasCode_142"
"351","[]","e645c31f-7b60-44b0-978a-2d6cf65fafed","AliasCode_138"
"352","[]","d705a871-f39c-455f-b06a-5ed369b88dde","AliasCode_144"
"353","[]","55f0d001-bf0d-47da-a5ea-f262dfe49426","AliasCode_145"
"354","[]","2e5c7291-a6f2-48d0-943f-2ce0b8a13014","AliasCode_146"
"355","[]","e6a5986e-ff5d-4eab-933f-36e076517682","AliasCode_147"
"356","[]","eca96ae1-3e42-447e-8a83-0b41c891c262","AliasCode_143"
"357","[]","5b559c55-43a5-4be5-93bb-08f97e603404","AliasCode_149"
"358","[]","ca3b148c-6dc8-4042-bbc2-381b372bbad3","AliasCode_150"
"359","[]","30348afc-3e9a-4fe0-9423-e66022822907","AliasCode_151"
"360","[]","70344a9d-7fb5-45d2-a89c-18e678c4eeb7","AliasCode_152"
"361","[]","e058470c-80cb-4137-b51b-52d516e84701","AliasCode_148"
"362","[]","354b8430-c2ec-4da7-936b-cf24efe94982","AliasCode_7"
"363","[]","d6462da6-8968-4b11-870a-38917dca7e02","AliasCode_8"
"364","[]","cb5ef9fe-cb99-4802-8348-1d7a6b82e0f4","AliasCode_9"
"365","[]","f4e13eed-0d36-4783-9e96-cdb4d2b266b1","AliasCode_10"
"366","[]","70261fc8-b22d-4f15-a610-cfff8e12cd84","AliasCode_11"
"367","[]","649693a6-218e-4e27-a969-79aa0d85af52","AliasCode_12"
"368","[]","8058743a-0182-4fca-a1c6-2b764029206a","AliasCode_13"
"369","[]","e126fe67-cfa1-4b4f-b578-5deb1d642820","AliasCode_14"
"370","[]","7a847dfe-231b-4261-bd57-c5efafc7fc6b","AliasCode_15"
"371","[]","d9162f25-af31-46a1-a0d2-62e22b4cf92b","AliasCode_16"
"372","[]","e61480f0-5d05-4354-aeb6-55e762768a7f","AliasCode_17"
"373","[]","a7ee7625-d5cf-4e1d-b4a7-872f896ed3de","AliasCode_18"
"374","[]","d0654024-046f-4958-9a0b-0915545b6e1f","AliasCode_19"
