"uuid:ID","name","id","description","label"
"be11d57f-f9b1-4204-b0f2-864e317f00bc","Screening","StudyEpoch_1","Screening Epoch",""
"084c0639-f78a-49d0-8328-6b5a6cf1ac3e","Baseline","StudyEpoch_2","Baseline Epoch",""
"c57dae74-98fb-4127-865f-a291dd4566f0","Treatment","StudyEpoch_3","Treatment Epoch",""
"14c19e53-56f1-448d-a47e-bf1d117b35bd","Follow-Up","StudyEpoch_4","Follow-up Epoch",""
