"text","uuid:ID","name","id","description","label"
"ITT","6fcdfff3-98d1-4281-8dde-354864b86d44","AP_1","AnalysisPopulation_1","",""
"ITT","4efbdc24-5147-46b8-9430-8eaec89492d4","AP_4","AnalysisPopulation_2","",""
