"uuid:ID","codeSystem","code","id","decode","codeSystemVersion"
"f22c2fce-f21a-49b2-9b2a-1c53cb37d91e","http://www.cdisc.org","C98388","Code_1","Interventional Study","2023-09-29"
"16a27165-e38b-48c8-8bc9-27ae0c6b3253","http://www.cdisc.org","C15602","Code_2","Phase III Trial","2023-09-29"
"168aa2b2-3d18-4c3a-95c0-d93a0e74ee30","http://www.cdisc.org","C132352","Code_6","Sponsor Approval Date","2023-09-29"
"fdcd86cf-7df2-4a4a-86d3-3ce3da9811cc","http://www.cdisc.org","C68846","Code_7","Global","2023-09-29"
"3202d2a9-4ea6-42fa-9661-03f47a00c581","SPONSOR","VAC","Code_3","Vacines Group","12"
"10b34c06-7b55-4e5c-9076-9cc4bc30fe9d","SPONSOR","REG","Code_4","Regulatory","12"
"126cf3e9-ec5b-48f3-8459-a524cd060dc5","http://www.cdisc.org","C93453","Code_10","Study Registry","2023-09-29"
"1bc5713f-d540-4f42-ad9c-0f61fe8c9543","ISO 3166 1 alpha3","GBR","Code_11","United Kingdom of Great Britain and Northern Ireland","2020-08"
"9fd1ca54-5542-4132-8ad0-210d42af72b9","http://www.cdisc.org","C70793","Code_12","Clinical Study Sponsor","2023-09-29"
"2d7698a7-20ef-4a8e-a611-df244a091bb8","ISO 3166 1 alpha3","FRA","Code_13","France","2020-08"
"cf637b90-6c8b-4de3-b175-26e5cab4ea2a","http://www.cdisc.org","C15714","Code_42","Basic Research","2023-09-29"
"7b5a53a1-8050-4b8b-b1c2-400e867ce50a","http://www.cdisc.org","C139174","Code_43","Device Feasibility Study","2023-09-29"
"7aa6c704-3ef9-47fc-a769-f7bf040e8dc0","http://www.cdisc.org","C49666","Code_44","Efficacy Study","2023-09-29"
"4bc07496-4bbe-44bd-b521-c5e01ec6a3e4","SPONSOR","T2_DIABETES","Code_39","Type 2 diabetes","12"
"a01174a0-ae17-4849-bfeb-3300de328ab1","SNOMED","73211009","Code_40","Diabetes mellitus (disorder)","January 31, 2018"
"ce5dc9fa-38e2-4e55-aca0-aff158e7e0b0","http://www.cdisc.org","C82639","Code_45","Parallel Study","2023-09-29"
"95a374b8-704c-48c0-8fac-853184f8d896","http://www.cdisc.org","C25716","Code_16","Visit","2023-09-29"
"154ff1de-d576-4ae0-87fc-97d849848e7c","http://www.cdisc.org","C51282","Code_17","Clinic","2023-09-29"
"984fc5fc-d192-47f6-bd5b-b5d1cc99a467","http://www.cdisc.org","C175574","Code_18","In Person","2023-09-29"
"7b1ee765-375d-4826-b7a6-45c5b13a7a9c","http://www.cdisc.org","C25716","Code_19","Visit","2023-09-29"
"2b227d69-dbba-4ccd-8d2e-dbe2221fc9ec","http://www.cdisc.org","C51282","Code_20","Clinic","2023-09-29"
"448cc978-22d3-49e7-b805-2f91ac7a9f87","http://www.cdisc.org","C175574","Code_21","In Person","2023-09-29"
"821093bc-276c-4aea-a9f2-d1fdb42ceb8b","http://www.cdisc.org","C25716","Code_22","Visit","2023-09-29"
"0a758ff6-4a1b-46af-8cf9-e3924cadda8d","http://www.cdisc.org","C51282","Code_23","Clinic","2023-09-29"
"340f33e5-9c55-418b-aec0-247328fd312c","http://www.cdisc.org","C175574","Code_24","In Person","2023-09-29"
"f674200d-099e-4e0d-88ad-d62fdef28eb4","http://www.cdisc.org","C25716","Code_25","Visit","2023-09-29"
"e7fcb77a-e14d-41e5-9c2b-3ba864e77758","http://www.cdisc.org","C51282","Code_26","Clinic","2023-09-29"
"399927d2-3d4b-4f5a-a40b-50eebb216414","http://www.cdisc.org","C175574","Code_27","In Person","2023-09-29"
"63fd6729-6897-470e-b793-32ee8aa2cb47","http://www.cdisc.org","C25716","Code_28","Visit","2023-09-29"
"234536bf-ebd9-4955-9e28-b2c56a8f31b2","http://www.cdisc.org","C18002","Code_29","Home","2023-09-29"
"51712363-5264-4059-ae71-5225ba0c3a54","http://www.cdisc.org","C171537","Code_30","Telephone Call","2023-09-29"
"28af0159-75a5-47ab-800b-79a8e719a258","http://www.cdisc.org","C20197","Code_72","Male","2023-09-29"
"959a925d-3f50-4925-8e8c-f9ef92dc2a8a","http://www.cdisc.org","C16576","Code_73","Female","2023-09-29"
"52315db8-076c-4bf2-be55-90e7271314f2","http://www.cdisc.org","C17998","Code_74","Unknown","2023-09-29"
"b3daed9c-1037-4534-ac81-28f9f42b5185","NCI Thesaurus","C28421","Code_75","Sex",""
"8f129d29-08ee-499d-923a-d99d733da38d","NCI Thesaurus","C28421","Code_71","Sex",""
"b25d0106-628a-4d7b-83bd-57e70291084b","http://www.cdisc.org","C17998","Code_77","Unknown","2023-09-29"
"ad7a09a1-520a-4a9f-9797-3760e5a427eb","NCI Thesaurus","C17049","Code_78","Race",""
"21854de5-a770-439e-9084-05cd86563f9d","NCI Thesaurus","C17049","Code_76","Race",""
"0be7d309-a7d8-46fc-9643-93a211d16785","NCI Thesaurus","C173522","Code_80","Vital Signs Result",""
"54f4c42f-ca11-45c2-b941-fbd5aa8dbec4","http://www.cdisc.org","C28252","Code_81","Kilogram","2023-09-29"
"7979f5cb-0bce-4378-9248-a47fc140e9af","http://www.cdisc.org","C48155","Code_82","Gram","2023-09-29"
"88d5ebfe-7139-42a7-8f66-e0bac8594faf","http://www.cdisc.org","C48531","Code_83","Pound","2023-09-29"
"d7cb081f-f581-410e-94cb-697aa069c7fb","NCI Thesaurus","C48208","Code_84","Unit of Weight",""
"ce84ca76-dcb0-4f7e-ac48-08942af08d09","NCI Thesaurus","C81328","Code_79","Body Weight",""
"3896b82c-8113-42ac-bc73-af8237bfb58c","http://www.cdisc.org","C174267","Code_31","Active Comparator Arm","2023-09-29"
"ae58609b-b7c2-4c47-a4ec-9d3bda65d453","http://www.cdisc.org","C188866","Code_32","Data Generated Within Study","2023-09-29"
"6443f1fb-ec7b-4937-a95d-3719a6e11c00","http://www.cdisc.org","C174268","Code_33","Placebo Comparator Arm","2023-09-29"
"20e5b5d6-43a4-4d99-9982-cd6f586c33cd","http://www.cdisc.org","C188866","Code_34","Data Generated Within Study","2023-09-29"
"f6e25075-cc93-4065-91ce-aa6cfc654316","http://www.cdisc.org","C49659","Code_41","Open Label Study","2023-09-29"
"36a6c10f-780d-4507-a641-5db09c09ed52","http://www.cdisc.org","C48262","Code_35","Trial Screening","2023-09-29"
"a0349872-5247-4af8-81ca-9195f0dbe9ad","http://www.cdisc.org","C125938","Code_36","Baseline Epoch","2023-09-29"
"76bfa740-6d99-4cd5-b99c-b8a626d23906","http://www.cdisc.org","C101526","Code_37","Treatment Epoch","2023-09-29"
"227fc6e2-28ce-452a-bc18-93462bb0c97b","http://www.cdisc.org","C99158","Code_38","Clinical Study Follow-up","2023-09-29"
"5253caa0-7c06-45f2-9d8e-227d9701fb6f","SNOMED","12345","Code_85","Indication1","January 31, 2018"
"d7bf233a-e280-43f5-8542-14d9161db136","SNOMED","345678","Code_88","Indication2","January 31, 2018"
"fdd19162-d8ab-453b-b696-56b8cacf9c53","ICD-10","X","Code_86","Y","None set"
"3c64e49b-1c3c-426b-9643-f530dcfa83d2","SNOMED","A","Code_87","B","January 31, 2018"
"22bf1459-6228-4a7a-8a57-8318a96041f7","ICD-10","DD","Code_89","CC","None set"
"b414e0a4-c420-416c-ad5b-0def00fea227","SNOMED","A","Code_90","B","January 31, 2018"
"9b429865-a33b-403a-a9a0-92d9117bc197","http://www.cdisc.org","C85826","Code_95","Trial Primary Objective","2023-09-29"
"77205402-b575-4a5f-9ba7-1b92f65853cd","http://www.cdisc.org","C94496","Code_94","Primary Endpoint","2023-09-29"
"e77fbfb0-25b3-432f-b0a0-c7f646034667","http://www.cdisc.org","C85827","Code_97","Trial Secondary Objective","2023-09-29"
"03ad5ef6-ae8a-4a7e-a1a1-94374aa82a36","http://www.cdisc.org","C139173","Code_96","Secondary Endpoint","2023-09-29"
"99d6edea-9d5a-46b5-b842-610d36ac5866","http://www.cdisc.org","C139173","Code_98","Secondary Endpoint","2023-09-29"
"92ff1309-6f6d-4a48-80e9-7ad584352def","http://www.cdisc.org","C139173","Code_99","Secondary Endpoint","2023-09-29"
"7f31d707-e7a2-453f-97b1-ccebfb20f6ac","http://www.cdisc.org","C139173","Code_100","Secondary Endpoint","2023-09-29"
"d8432830-77e1-488a-85e7-f339b1593c9e","http://www.cdisc.org","C139173","Code_101","Secondary Endpoint","2023-09-29"
"78b991ce-4d8e-457e-8515-2fcbce84ad0f","http://www.cdisc.org","C139173","Code_102","Secondary Endpoint","2023-09-29"
"75f4175e-2b00-4686-9366-c4aded22f81e","http://www.cdisc.org","C139173","Code_103","Secondary Endpoint","2023-09-29"
"035a214d-f9e3-4c32-9e39-4b927b9997bf","http://www.cdisc.org","C139173","Code_104","Secondary Endpoint","2023-09-29"
"7bcf0105-75ef-42aa-b9da-eec57edcdfdd","http://www.cdisc.org","C139173","Code_105","Secondary Endpoint","2023-09-29"
"4c6f06bd-ab47-4791-8a07-593b622ef7c3","http://www.cdisc.org","C139173","Code_106","Secondary Endpoint","2023-09-29"
"4e7a01e3-7b72-4e64-8c33-095690576758","http://www.cdisc.org","C139173","Code_107","Secondary Endpoint","2023-09-29"
"7b12c92f-0ec6-48e4-80dd-0afa2bf5cee8","http://www.cdisc.org","C49636","Code_91","Both","2023-09-29"
"f1a6bf84-bc83-4824-a844-b0fdbfc684b2","http://www.cdisc.org","C20197","Code_92","Male","2023-09-29"
"acb2d34a-ab4c-4580-bba5-74268c87a1f3","http://www.cdisc.org","C16576","Code_93","Female","2023-09-29"
"328897c7-d1e9-4f74-b8dd-3755c6c44be2","http://www.cdisc.org","C201264","Code_48","Before","2023-09-29"
"7387704b-5a3a-4900-9542-f174ff494052","http://www.cdisc.org","C201265","Code_50","Start to Start","2023-09-29"
"c9a1fc1f-1f49-48c2-be98-088736411a91","http://www.cdisc.org","C201264","Code_53","Before","2023-09-29"
"5daccae9-e0f7-455a-ad09-b10a2fa27eba","http://www.cdisc.org","C201265","Code_55","Start to Start","2023-09-29"
"60e2bc76-d3cb-478b-a161-ee40fdd6c1ac","http://www.cdisc.org","C201264","Code_56","Fixed Reference","2023-09-29"
"06cd2c0d-8d22-44a6-b114-84b363c90021","http://www.cdisc.org","C201265","Code_60","Start to Start","2023-09-29"
"70a97663-c3bd-491a-8429-31074d65abc6","http://www.cdisc.org","C201264","Code_62","After","2023-09-29"
"89af2810-707e-4448-99c6-0d969ba72c5d","http://www.cdisc.org","C201265","Code_65","Start to Start","2023-09-29"
"b83a7569-bef1-4be8-9ec1-43245d1a82b3","http://www.cdisc.org","C201264","Code_67","After","2023-09-29"
"d8f4d3ec-f80d-4d87-b387-e8c332bccc22","http://www.cdisc.org","C201265","Code_70","Start to Start","2023-09-29"
"21ba04aa-a535-4c22-90e6-279e545568d8","http://www.cdisc.org","C85255","Code_5","Draft","2023-09-29"
"51e8a4cc-09e4-47db-8988-763fe33fe77a","http://www.cdisc.org","C99903x1","Code_8","Protocol Effective Date","2023-09-29"
"2eb92feb-c7b6-4ed7-b8f3-7c74c4496ae0","http://www.cdisc.org","C68846","Code_9","Global","2023-09-29"
