"description","label","uuid:ID","name","instanceType","id"
"Dictionary for IE","IE Dictionary","2a01ca33-0f0c-4024-ad30-3855ba738ee2","IE_Dict","SyntaxTemplateDictionary","SyntaxTemplateDictionary_1"
"Dictionary for Study Assessments","Assessment Dictionary","9389f349-d728-4f30-acb4-db1f736574bc","AS_Dict","SyntaxTemplateDictionary","SyntaxTemplateDictionary_2"
