"uuid:ID","otherReason","instanceType","id"
"bab47bd2-c115-4c54-9274-06d0ca5b7b80","","StudyAmendmentReason","StudyAmendmentReason_1"
"072b4440-b93e-4d8a-b1e9-05088b7a21ad","Fix typographical errors","StudyAmendmentReason","StudyAmendmentReason_2"
