"uuid:ID","instanceType","id"
"0e8dec8f-9ee4-4db6-bc67-338762142888","StudyCell","StudyCell_1"
"fb384c82-26e8-4f04-97bc-4d16ae5d9a46","StudyCell","StudyCell_2"
"61b83954-27cb-4e5c-85c1-26caf2e01810","StudyCell","StudyCell_3"
"91e6aedd-1392-4de9-bc8a-19ee89ca3b72","StudyCell","StudyCell_4"
"c5397639-0fc1-46e2-97e4-d9597d190409","StudyCell","StudyCell_5"
"7d3992cf-4c7c-4b44-8adc-890c112517ab","StudyCell","StudyCell_6"
"7b8a1c0e-68fd-4ae6-859b-3320136d3d8c","StudyCell","StudyCell_7"
"f3f0c6e1-f748-4628-8ad6-1994be602bc1","StudyCell","StudyCell_8"
"7347cfbd-e673-4c64-8be7-f17ee27c35bf","StudyCell","StudyCell_9"
"b28f7ad8-1fef-47aa-bf9b-185288249b69","StudyCell","StudyCell_10"
"edae5085-f088-4ee7-b7f3-2112e16ca03e","StudyCell","StudyCell_11"
"8cf0aded-9a9b-473d-9276-b2716f815b0b","StudyCell","StudyCell_12"
"dd4da498-42a0-47ff-9eae-8ba784d8e7df","StudyCell","StudyCell_13"
"efcf80a3-c09c-4ca1-b443-2ecc7d1102eb","StudyCell","StudyCell_14"
"66bc77b9-8c36-4948-9195-3ee7c5ae11cf","StudyCell","StudyCell_15"
