"id","uuid:ID","standardCodeAliases"
"AliasCode_1","a4969bd5-28d0-482f-b210-83978dc43b71","[]"
"AliasCode_3","5a95779e-66c5-4e31-8370-3991bf557605","[]"
"AliasCode_4","baee3b68-6e9a-4d25-adc8-25eedc559780","[]"
"AliasCode_109","2bd408ff-70e5-476a-b453-091b66f0beb3","[]"
"AliasCode_110","962d1ac7-7841-43a4-a31f-8fcef1327f60","[]"
"AliasCode_111","9ff6ce30-199b-42f0-939f-5ed4a52dd8a3","[]"
"AliasCode_108","fd55907d-e67f-4355-82cb-1e1705b46bb7","[]"
"AliasCode_113","27a174fa-9fea-46b8-abb8-641076c8d62f","[]"
"AliasCode_114","7cda24ac-7d00-4bf3-9d0d-757bb7783aa8","[]"
"AliasCode_112","91781006-ec80-4d10-86fe-71b1bee5f611","[]"
"AliasCode_116","4c5d5892-91ad-4c9d-8c8b-e94d21acba69","[]"
"AliasCode_117","acd409b0-5ea1-4397-8692-e014d9243763","[]"
"AliasCode_115","72488092-0a24-4ace-a444-79e366fe892b","[]"
"AliasCode_119","54c0b9a1-b906-4f4f-817d-d29c31152b86","[]"
"AliasCode_120","80b4ab01-9ebf-43bb-9d88-8fa1b15ff8d1","[]"
"AliasCode_121","70000552-3a3e-4a11-bcee-34a0223460d4","[]"
"AliasCode_122","2ede082c-a529-459b-85af-76d4d7b8b336","[]"
"AliasCode_118","eae88507-dcdf-427e-a447-7f53c9038cf7","[]"
"AliasCode_124","15498e1b-5f5d-467f-a03f-0e136af7b8ba","[]"
"AliasCode_125","1b4f3558-0430-46c4-b0e3-ad0ff18828df","[]"
"AliasCode_126","825d95cf-12de-43a0-a249-ed03475934c3","[]"
"AliasCode_127","a2cf9e43-e3ba-4318-aa73-847bcb55ef75","[]"
"AliasCode_123","810fe4c7-c5b8-4756-8c01-38f7c5d6571b","[]"
"AliasCode_129","cb845bce-7b9e-4bba-998e-332dc931abdd","[]"
"AliasCode_130","1a48ef76-2390-473a-86e3-01681e3a8fec","[]"
"AliasCode_131","9b2ac6b0-6d6c-4f5f-8d23-40223eac98d5","[]"
"AliasCode_132","bccaacaa-01a6-4993-9393-d4aa3434279f","[]"
"AliasCode_128","6c9af264-0f04-4f22-ab56-78814cff61ac","[]"
"AliasCode_134","ca5b116a-9f0c-4339-b700-7e8a461a0c99","[]"
"AliasCode_135","55898677-aa69-4a16-8091-425096ee358d","[]"
"AliasCode_136","317795aa-3210-4e74-bd96-49c209e18b58","[]"
"AliasCode_137","cb0aa890-6420-40a7-9fbf-e7467659db6c","[]"
"AliasCode_133","eb4e51b9-a86c-488f-b4d1-42d90260b820","[]"
"AliasCode_139","d7d29950-9aca-410c-b79e-39b7d0b02a1b","[]"
"AliasCode_140","dccd1628-f2f5-4fba-9590-4015b7047f27","[]"
"AliasCode_141","e40d4a38-32d3-42bb-889e-1915a11db775","[]"
"AliasCode_142","02d72d0d-c187-4ad2-aea9-489fe7d6da6e","[]"
"AliasCode_138","56fe4876-6c22-41f6-9350-b7af328c3063","[]"
"AliasCode_144","92067bc4-2be2-4edc-b55b-9a856d7f561e","[]"
"AliasCode_145","cfa57c75-53ac-43a0-a1b6-7d4a0ca35b48","[]"
"AliasCode_146","7b89d560-65fd-4d0f-a0f2-ba22f08607de","[]"
"AliasCode_147","7928706a-8e4b-41e7-902f-eac924131eac","[]"
"AliasCode_143","691ea1fe-a630-4813-aa0e-1ea4b8974c33","[]"
"AliasCode_149","57313cb0-2c4f-4de9-9590-cb3b711f8fb5","[]"
"AliasCode_150","8999e579-1565-4145-bd75-6507f3d22500","[]"
"AliasCode_151","c05182b3-123f-41a7-999a-9c34558b5653","[]"
"AliasCode_152","b02791bc-5949-4c6f-ac63-3b9211f04522","[]"
"AliasCode_148","e682a193-e142-44d2-9c27-947d0177ec8d","[]"
"AliasCode_7","04f0fd10-c24c-4ad0-8b77-76dcb059aa78","[]"
"AliasCode_8","9a7cd481-93f4-40f4-9713-18afb7b80a83","[]"
"AliasCode_9","d88de05f-6e4c-43c1-8831-f065dbce11f6","[]"
"AliasCode_10","832c687e-cd37-45fe-9cc7-fe0a16474f7a","[]"
"AliasCode_11","3c1bb279-18af-40fd-850e-0731948bb90e","[]"
"AliasCode_12","1a16221a-afb4-40f4-83df-09dc72ea0d37","[]"
"AliasCode_13","0084b279-174a-4cc6-94ee-124bfcd719c2","[]"
"AliasCode_14","05dab930-947a-4cc6-b4fe-c54348ca00f7","[]"
"AliasCode_15","6f7ffa21-c5fa-441c-ba81-3b20be53ee7c","[]"
"AliasCode_16","8ef2a3a4-d750-4b4d-84a7-abb22084099e","[]"
"AliasCode_17","0a434b4d-4d4f-4d7c-b06c-017fd4a27660","[]"
"AliasCode_18","1eec1087-e75b-4404-9c58-9fb5442720c0","[]"
"AliasCode_19","a425b295-5858-41fa-bd90-536a95bacca8","[]"
"AliasCode_20","1dc5c983-812f-4c28-878c-9974efda8c0f","[]"
"AliasCode_6","9a5885f7-b3f3-4437-98c1-2293c96b983e","[]"
"AliasCode_22","8c25eeb9-c362-42f6-8300-3abe1f338425","[]"
"AliasCode_23","e014215b-ae95-41df-a299-82ad74c008ea","[]"
"AliasCode_24","8fca975b-12fd-4a7d-810a-d9ab43e4f72e","[]"
"AliasCode_25","b2a72a48-7b77-492d-85b0-1c59c7a34955","[]"
"AliasCode_26","ee831ac0-fb5b-4be0-8eaf-dcd372cb86f2","[]"
"AliasCode_27","b800fb4f-dad9-480c-a761-92dd1afce067","[]"
"AliasCode_21","6849d239-1acb-4269-8dce-47c828153973","[]"
"AliasCode_29","3b8209e3-5652-4554-95ba-cde022637312","[]"
"AliasCode_30","7e128567-c1b1-432a-a6ac-06d96dbefd6e","[]"
"AliasCode_31","57a539f0-46e7-417e-ae98-042b633667c0","[]"
"AliasCode_32","bfb4ec96-9d1b-43db-a337-66ccd9ed438f","[]"
"AliasCode_33","8f73c448-1a0d-4bc4-931a-acc3b7b11405","[]"
"AliasCode_34","186644d8-eed3-4443-89b0-c8653c198da6","[]"
"AliasCode_28","b3e1750a-80f5-4cfb-91af-9a87811ef67e","[]"
"AliasCode_36","6c9f4697-3e90-4bee-bee7-7b91406135f0","[]"
"AliasCode_37","70a69be9-62b9-476e-a77b-24bd57acacba","[]"
"AliasCode_38","986b8749-fbe2-40c6-ae37-b2fed7d4a1af","[]"
"AliasCode_35","5fb21ca6-422b-4a0e-806a-d2947b2d46a8","[]"
"AliasCode_40","b2760c4e-972d-4932-bb33-0789bd2679bf","[]"
"AliasCode_41","2fd05bea-d780-4df3-b8e3-f14281cb3546","[]"
"AliasCode_39","fd9c3564-00cb-4a82-9255-6e8233792c2a","[]"
"AliasCode_43","08e4d4f3-ea7e-486d-b585-58cb87e0e566","[]"
"AliasCode_44","4fa8f5b8-65f1-4969-8f10-db144bb09374","[]"
"AliasCode_42","23eb5e97-410a-4f38-a770-999f0ce16189","[]"
"AliasCode_46","11eea590-3977-403d-b6d2-a24631fdb7a6","[]"
"AliasCode_47","e9e49f6d-2ee3-4235-9686-c0f2e5df2ecd","[]"
"AliasCode_48","ea656444-791b-4b5c-8e4c-dc6b1d54988f","[]"
"AliasCode_49","5a59be15-f1eb-4dff-9569-5afd322cb76a","[]"
"AliasCode_45","dc1fcffb-9ed0-475a-a716-9fb2705c7512","[]"
