"name","description","id","label","uuid:ID","dateValue"
"Approval","Design approval date","GovernanceDate_1","Design Approval","582ab763-cc0b-499b-a86a-a89ef30fe567","2006-07-01"
"Approval","Protocol document approval date","GovernanceDate_2","Protocol Approval","1219f976-607b-43f1-86e0-9688358d3071","2006-07-01"
