"codeSystem","decode","code","uuid:ID","id","codeSystemVersion"
"http://www.cdisc.org","Interventional Study","C98388","df1ea7d3-981d-4bc1-98b6-91ca2b3b2fc1","Code_1","2023-09-29"
"http://www.cdisc.org","Phase III Trial","C15602","6cebf083-1f26-4e74-9552-feb1d4aad17e","Code_2","2023-09-29"
"http://www.cdisc.org","Sponsor Approval Date","C132352","9a9a544c-16ab-46bd-aa78-b23a3395c50a","Code_6","2023-09-29"
"http://www.cdisc.org","Global","C68846","a9f32b77-26d8-4d9e-817a-a567e0b5d8e8","Code_7","2023-09-29"
"SPONSOR","Vacines Group","VAC","a5fed079-9dc1-4935-b577-0f7432adbf69","Code_3","12"
"SPONSOR","Regulatory","REG","2503b91a-f140-4a20-b69b-ae0f19759735","Code_4","12"
"http://www.cdisc.org","Study Registry","C93453","53e8e83d-a0fe-4d86-a86f-77b12557951d","Code_10","2023-09-29"
"ISO 3166 1 alpha3","United Kingdom of Great Britain and Northern Ireland","GBR","1a560472-00c7-4dc0-9eb9-7fb425943b08","Code_11","2020-08"
"http://www.cdisc.org","Clinical Study Sponsor","C70793","020704fe-68d3-4bd2-afb6-0f0ea233d582","Code_12","2023-09-29"
"ISO 3166 1 alpha3","France","FRA","33f2109e-f56a-418e-8eba-00e74f2bcb12","Code_13","2020-08"
"http://www.cdisc.org","Basic Research","C15714","b52f7d0d-e611-4c27-8f89-5c676250756f","Code_42","2023-09-29"
"http://www.cdisc.org","Device Feasibility Study","C139174","6e3d94ff-7114-41bc-89b5-00f93364a198","Code_43","2023-09-29"
"http://www.cdisc.org","Efficacy Study","C49666","040dc1be-295b-4feb-bea2-afc8112a6e0a","Code_44","2023-09-29"
"SPONSOR","Type 2 diabetes","T2_DIABETES","0891dc3b-4fc4-4bd5-8c52-12ec2644b332","Code_39","12"
"SNOMED","Diabetes mellitus (disorder)","73211009","3bb1f6e3-ff69-4918-ae9f-5692bae4968a","Code_40","January 31, 2018"
"http://www.cdisc.org","Parallel Study","C82639","fb949398-eef3-4e81-b85a-2270f0548e32","Code_45","2023-09-29"
"http://www.cdisc.org","Visit","C25716","7836ca1b-1c92-426f-a4ba-540111105aa4","Code_16","2023-09-29"
"http://www.cdisc.org","Clinic","C51282","c6d102e7-7843-464b-b1c0-6eb8967241c2","Code_17","2023-09-29"
"http://www.cdisc.org","In Person","C175574","d6c443f0-b486-46fd-bef5-b6468ea09eb0","Code_18","2023-09-29"
"http://www.cdisc.org","Visit","C25716","d84d423d-0d4f-4c7a-9f30-924731c7f461","Code_19","2023-09-29"
"http://www.cdisc.org","Clinic","C51282","51edd2f7-cb2a-4fb1-9f90-7c01f01683e7","Code_20","2023-09-29"
"http://www.cdisc.org","In Person","C175574","50594bb8-4bcb-4bea-94c7-86affb6061de","Code_21","2023-09-29"
"http://www.cdisc.org","Visit","C25716","59be9701-3c80-49c1-8884-9efeb744a736","Code_22","2023-09-29"
"http://www.cdisc.org","Clinic","C51282","a7cfecf7-2100-4862-8dda-f09f3ca172ad","Code_23","2023-09-29"
"http://www.cdisc.org","In Person","C175574","848a58d5-52a3-42ff-80d1-3c045295874f","Code_24","2023-09-29"
