"isRequired","name","uuid:ID","instanceType","isEnabled","datatype","label","id"
"True","DSDECOD","30157966-ad4d-474e-8bdb-733668db2892","BiomedicalConceptProperty","True","text","DSDECOD","BiomedicalConceptProperty_116"
"True","DSTERM","d1824076-5d91-4798-abc7-16d6ad6e8dd3","BiomedicalConceptProperty","True","text","DSTERM","BiomedicalConceptProperty_117"
"True","DSSTDTC","920047b9-aafc-459f-8257-ba7611604bde","BiomedicalConceptProperty","True","datetime","DSSTDTC","BiomedicalConceptProperty_118"
"True","Sex","d8365841-f748-42bb-aad6-b3c3b9d2993b","BiomedicalConceptProperty","True","string","Sex","BiomedicalConceptProperty_119"
"True","Race","933c6e7a-2283-422b-8959-7ce368063934","BiomedicalConceptProperty","True","string","Race","BiomedicalConceptProperty_120"
"True","VSTESTCD","85f4fb7c-2494-490e-942e-dcc41e3e755f","BiomedicalConceptProperty","True","","VSTESTCD","BiomedicalConceptProperty_121"
"True","VSORRES","cb23ef99-d7ed-417f-979f-71e5b1107a05","BiomedicalConceptProperty","True","float","VSORRES","BiomedicalConceptProperty_122"
"True","VSORRESU","0dc222fa-e824-4d08-993e-acf37ddd8307","BiomedicalConceptProperty","True","","VSORRESU","BiomedicalConceptProperty_123"
"True","VSLOC","dfb260af-84f2-4877-a18c-569cb5703d33","BiomedicalConceptProperty","True","","VSLOC","BiomedicalConceptProperty_124"
"True","VSTESTCD","57ce7a60-61f3-4e25-af0e-2673edd1279f","BiomedicalConceptProperty","True","","VSTESTCD","BiomedicalConceptProperty_125"
"True","VSORRES","37211bbe-3cf2-4d9b-b36c-3cbdae529802","BiomedicalConceptProperty","True","float","VSORRES","BiomedicalConceptProperty_126"
"True","VSORRESU","f43df573-67bd-4a13-b23a-13e657906d62","BiomedicalConceptProperty","True","","VSORRESU","BiomedicalConceptProperty_127"
"True","VSTESTCD","0c4bb13e-dcbb-4f9f-b6ee-0c850da55387","BiomedicalConceptProperty","True","","VSTESTCD","BiomedicalConceptProperty_128"
"True","VSORRES","975c9fe7-051e-4afe-a467-d7bf44ad127a","BiomedicalConceptProperty","True","float","VSORRES","BiomedicalConceptProperty_129"
"True","VSORRESU","cba34a03-a948-49fa-8b1c-af2e23f58d2c","BiomedicalConceptProperty","True","","VSORRESU","BiomedicalConceptProperty_130"
"True","LBTESTCD","dbcd60cf-24b4-404c-acb7-7281dcf9babe","BiomedicalConceptProperty","True","","LBTESTCD","BiomedicalConceptProperty_131"
"True","LBORRES","2918b63f-dee8-47ba-859a-503beb449f3a","BiomedicalConceptProperty","True","float","LBORRES","BiomedicalConceptProperty_132"
"True","LBORRESU","f1eb3be8-fa72-41bd-b236-d887d134e41f","BiomedicalConceptProperty","True","","LBORRESU","BiomedicalConceptProperty_133"
"True","LBSPEC","f2c3e422-2d61-47d8-aa27-a3a02a14128b","BiomedicalConceptProperty","True","","LBSPEC","BiomedicalConceptProperty_134"
"True","LBFAST","b69a26bb-9474-452e-a88f-d0c6ab0424e6","BiomedicalConceptProperty","True","","LBFAST","BiomedicalConceptProperty_135"
"True","LBTESTCD","98e110b6-6859-44aa-821b-1e8895166a33","BiomedicalConceptProperty","True","","LBTESTCD","BiomedicalConceptProperty_136"
"True","LBORRES","c836797a-52bd-47f5-bad1-a037fc360217","BiomedicalConceptProperty","True","text","LBORRES","BiomedicalConceptProperty_137"
"True","LBSPEC","9b9acf0e-442b-45bf-affa-b06d5b965bf4","BiomedicalConceptProperty","True","","LBSPEC","BiomedicalConceptProperty_138"
"True","LBFAST","108b9a75-5d5a-4b97-a365-9d56fe423104","BiomedicalConceptProperty","True","","LBFAST","BiomedicalConceptProperty_139"
"True","LBTESTCD","4dfa4384-8690-4269-b971-b0a0f6c72f49","BiomedicalConceptProperty","True","","LBTESTCD","BiomedicalConceptProperty_140"
"True","LBORRES","510beee9-b991-47a6-8893-01b3e09f953d","BiomedicalConceptProperty","True","float","LBORRES","BiomedicalConceptProperty_141"
"True","LBORRESU","26887b81-a39f-4cc6-8450-281a7039a6c9","BiomedicalConceptProperty","True","","LBORRESU","BiomedicalConceptProperty_142"
"True","LBSPEC","8b8f3712-964c-4cfb-8c33-71524b29d02d","BiomedicalConceptProperty","True","","LBSPEC","BiomedicalConceptProperty_143"
"True","LBFAST","9618747e-b7e6-4395-bbb5-1a87ba751875","BiomedicalConceptProperty","True","","LBFAST","BiomedicalConceptProperty_144"
"True","LBTESTCD","1a571fbb-d167-4304-a5b2-6037abe8f489","BiomedicalConceptProperty","True","","LBTESTCD","BiomedicalConceptProperty_145"
"True","LBORRES","6ade24c3-a075-4810-b219-9bebd7a27cd9","BiomedicalConceptProperty","True","float","LBORRES","BiomedicalConceptProperty_146"
"True","LBORRESU","7161e0cc-6d4a-4f73-b3ab-fad510f621c9","BiomedicalConceptProperty","True","","LBORRESU","BiomedicalConceptProperty_147"
"True","LBSPEC","e3af2072-a4b1-49ee-b5eb-8e834bc8907a","BiomedicalConceptProperty","True","","LBSPEC","BiomedicalConceptProperty_148"
"True","LBFAST","8f6d849c-bc29-4847-8d6f-1094630362a0","BiomedicalConceptProperty","True","","LBFAST","BiomedicalConceptProperty_149"
"True","LBTESTCD","fcfb846c-b769-453b-aa7f-8f1ca5cf1e62","BiomedicalConceptProperty","True","","LBTESTCD","BiomedicalConceptProperty_150"
"True","LBORRES","50f9b888-cca7-4e40-947c-79bee94f9f97","BiomedicalConceptProperty","True","float","LBORRES","BiomedicalConceptProperty_151"
"True","LBORRESU","a42c22ee-d39b-430a-8582-3d0741ec0ddc","BiomedicalConceptProperty","True","","LBORRESU","BiomedicalConceptProperty_152"
"True","LBSPEC","94cea579-3c00-4cb9-b97c-8b72c5072206","BiomedicalConceptProperty","True","","LBSPEC","BiomedicalConceptProperty_153"
"True","LBFAST","23ef06ac-feb2-4abe-ac87-29ee1482011c","BiomedicalConceptProperty","True","","LBFAST","BiomedicalConceptProperty_154"
"True","LBTESTCD","9aa5e67d-1765-4cba-8dfd-a786507e4055","BiomedicalConceptProperty","True","","LBTESTCD","BiomedicalConceptProperty_155"
"True","LBORRES","1da7279e-d5d2-459a-bb39-6dc445e61cfd","BiomedicalConceptProperty","True","float","LBORRES","BiomedicalConceptProperty_156"
"True","LBORRESU","4a6a702c-2cb9-44a3-998d-d59125a008e0","BiomedicalConceptProperty","True","","LBORRESU","BiomedicalConceptProperty_157"
"True","LBSPEC","31e53412-cfe1-4d99-801e-94b06aadff6b","BiomedicalConceptProperty","True","","LBSPEC","BiomedicalConceptProperty_158"
"True","LBFAST","bedb45fe-9f0f-4d33-90f2-e7e7a629ef0a","BiomedicalConceptProperty","True","","LBFAST","BiomedicalConceptProperty_159"
"True","LBTESTCD","4f87eb8c-44d1-4547-8168-e42839f8b230","BiomedicalConceptProperty","True","","LBTESTCD","BiomedicalConceptProperty_160"
"True","LBORRES","42df803d-e6d5-48de-b716-39ff11caad8f","BiomedicalConceptProperty","True","float","LBORRES","BiomedicalConceptProperty_161"
"True","LBORRESU","7aa6524e-3a11-4b66-b0f8-67e0145c4958","BiomedicalConceptProperty","True","","LBORRESU","BiomedicalConceptProperty_162"
"True","LBSPEC","0c77a3ee-72b1-470e-966c-c873b99166c7","BiomedicalConceptProperty","True","","LBSPEC","BiomedicalConceptProperty_163"
"True","LBFAST","53392b97-f7d0-492c-9a58-8e4391aa0081","BiomedicalConceptProperty","True","","LBFAST","BiomedicalConceptProperty_164"
"True","LBTESTCD","9af62f98-33eb-4ecd-832b-f95819bedc28","BiomedicalConceptProperty","True","","LBTESTCD","BiomedicalConceptProperty_165"
"True","LBORRES","f8ca252a-f3ea-420a-9759-7ea8bf1a8fd8","BiomedicalConceptProperty","True","float","LBORRES","BiomedicalConceptProperty_166"
"True","LBORRESU","a8492c7a-5493-4f78-a02b-c452b31114f8","BiomedicalConceptProperty","True","","LBORRESU","BiomedicalConceptProperty_167"
"True","LBSPEC","f8165eb0-6f38-41aa-afe5-e35317048c85","BiomedicalConceptProperty","True","","LBSPEC","BiomedicalConceptProperty_168"
"True","LBFAST","78a35482-1de6-49ff-b1e5-f293ea808580","BiomedicalConceptProperty","True","","LBFAST","BiomedicalConceptProperty_169"
"True","AETERM","27b01186-a9cb-4018-a662-32ce7f5e56fe","BiomedicalConceptProperty","True","text","AETERM","BiomedicalConceptProperty_1"
"True","AEDECOD","746de27b-ad64-4e9b-bfbc-d26c84691250","BiomedicalConceptProperty","True","text","AEDECOD","BiomedicalConceptProperty_2"
"True","AEPRESP","9a6617b4-6fae-4e42-8573-9d271625f3cc","BiomedicalConceptProperty","True","text","AEPRESP","BiomedicalConceptProperty_3"
"True","AELOC","1b5cd71b-1d44-48dd-9e4e-cc6481529161","BiomedicalConceptProperty","True","text","AELOC","BiomedicalConceptProperty_4"
"True","AESEV","1bcf9fcc-ec7a-480f-86b1-ecb758d3bc98","BiomedicalConceptProperty","True","text","AESEV","BiomedicalConceptProperty_5"
"True","AESER","8dc66d90-9085-4795-97c5-cf6769973787","BiomedicalConceptProperty","True","text","AESER","BiomedicalConceptProperty_6"
"True","AEACN","cad12eb1-ea39-485a-bd5c-ee79647d47f0","BiomedicalConceptProperty","True","text","AEACN","BiomedicalConceptProperty_7"
"True","AEACNOTH","9056a1a3-b5c8-4818-9b87-7bc6fb12c4f1","BiomedicalConceptProperty","True","text","AEACNOTH","BiomedicalConceptProperty_8"
"True","AEREL","91020b04-605f-4386-903c-4afb599b6ea4","BiomedicalConceptProperty","True","text","AEREL","BiomedicalConceptProperty_9"
"True","AERELNST","971f65ce-a544-4c7e-a393-7fa17340d7e9","BiomedicalConceptProperty","True","text","AERELNST","BiomedicalConceptProperty_10"
"True","AEPATT","4cc0f020-0230-4761-94cb-f5b052ab85d1","BiomedicalConceptProperty","True","text","AEPATT","BiomedicalConceptProperty_11"
"True","AEOUT","f218b504-d0a5-4b2d-9b64-757950f030b3","BiomedicalConceptProperty","True","text","AEOUT","BiomedicalConceptProperty_12"
