"name","uuid:ID","instanceType","description","label","id"
"IE_Dict","e729f19f-6435-4389-a11d-35edbdb6a6c9","SyntaxTemplateDictionary","Dictionary for IE","IE Dictionary","SyntaxTemplateDictionary_1"
"AS_Dict","1699231a-cfd1-47a2-95a2-2d5d0f6a7312","SyntaxTemplateDictionary","Dictionary for Study Assessments","Assessment Dictionary","SyntaxTemplateDictionary_2"
