"id","otherReason","uuid:ID","instanceType"
"StudyAmendmentReason_1","","d9a2e304-8863-40cd-bcc6-1a19016db3b5","StudyAmendmentReason"
"StudyAmendmentReason_2","Fix typographical errors","26caca53-80c5-4aaa-88b1-2d7d5891d1aa","StudyAmendmentReason"
