"instanceType","otherReason","id","uuid:ID"
"StudyAmendmentReason","","StudyAmendmentReason_1","d9b97193-7f5a-409e-81da-f1b38702ebbc"
"StudyAmendmentReason","Fix typographical errors","StudyAmendmentReason_2","a264b91e-a3e5-4b5b-a715-8726af8769a6"
