"instanceType","uuid:ID","maxValue","isApproximate","id","minValue"
"Range","5ac3ce5d-9a86-4279-ad79-b27f769a592d","300.0","False","Range_2","300.0"
"Range","0f8ac454-45db-4be9-ad0a-002ec0240683","300.0","False","Range_1","300.0"
"Range","81186a16-4bc1-4657-b6e4-d40cade1af84","100.0","False","Range_3","50.0"
