"text","parameterMap","id","uuid:ID","label","name","description"
"","{'min_age': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'plannedMinimumAgeOfParticipants'}, 'max_age': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'plannedMaximumAgeOfParticipants'}, 'StudyPopulation': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'populationDescription'}}","SyntaxTemplateDictionary_1","fabce154-8a25-4a1a-baca-05b9e2a2263d","IE Dictionary","IE_Dict","Dictionary for IE"
"","{'Activity1': {'klass': 'Activity', 'id': 'Activity_6', 'attribute': 'label'}}","SyntaxTemplateDictionary_2","6dca32d0-180c-4d10-914f-f65d725cde22","Assessment Dictionary","AS_Dict","Dictionary for Study Assessments"
