"minValue","isApproximate","uuid:ID","id","maxValue","instanceType"
"300.0","False","60cd92fa-78b0-4524-ab07-78ee0d41b8e9","Range_2","300.0","Range"
"300.0","False","663de5b8-911c-4898-b328-8514497b0f5c","Range_1","300.0","Range"
"50.0","False","bb3ed443-0cc2-417b-90d7-6010470a381c","Range_3","100.0","Range"
