"isEnabled","datatype","name","label","id","isRequired","uuid:ID","instanceType"
"True","text","DSDECOD","DSDECOD","BiomedicalConceptProperty_116","True","02806c9f-c785-48ac-83e4-50b9be24d027","BiomedicalConceptProperty"
"True","text","DSTERM","DSTERM","BiomedicalConceptProperty_117","True","06f54146-ee20-4771-bcd7-360171f512b1","BiomedicalConceptProperty"
"True","datetime","DSSTDTC","DSSTDTC","BiomedicalConceptProperty_118","True","0f4c658e-0413-4b49-b125-14f3cf5be0e6","BiomedicalConceptProperty"
"True","string","Sex","Sex","BiomedicalConceptProperty_119","True","0edec1dd-99fa-448f-9ac5-cb465b8b3c91","BiomedicalConceptProperty"
"True","string","Race","Race","BiomedicalConceptProperty_120","True","53213ee3-d1a4-4e73-87b9-eccc6bbe715d","BiomedicalConceptProperty"
"True","","VSTESTCD","VSTESTCD","BiomedicalConceptProperty_121","True","92253b3c-23d1-41e1-897f-a27891db8413","BiomedicalConceptProperty"
"True","float","VSORRES","VSORRES","BiomedicalConceptProperty_122","True","ca725b99-685e-499b-ba70-55b672fa0a7f","BiomedicalConceptProperty"
"True","","VSORRESU","VSORRESU","BiomedicalConceptProperty_123","True","b40d9aa0-e360-486a-b76a-904baa8f9667","BiomedicalConceptProperty"
"True","","VSLOC","VSLOC","BiomedicalConceptProperty_124","True","465f17e1-ca84-494b-943e-3b9c270b1015","BiomedicalConceptProperty"
"True","","VSTESTCD","VSTESTCD","BiomedicalConceptProperty_125","True","9c5858c3-1243-4852-bad7-86517b55493d","BiomedicalConceptProperty"
"True","float","VSORRES","VSORRES","BiomedicalConceptProperty_126","True","94951d82-01d3-46f3-b386-7bff28511c7e","BiomedicalConceptProperty"
"True","","VSORRESU","VSORRESU","BiomedicalConceptProperty_127","True","d989e49d-d866-4dd5-b53f-8a9865f157e8","BiomedicalConceptProperty"
"True","","VSTESTCD","VSTESTCD","BiomedicalConceptProperty_128","True","9360799b-c130-40a6-ac14-41dd994ff239","BiomedicalConceptProperty"
"True","float","VSORRES","VSORRES","BiomedicalConceptProperty_129","True","22c11460-90bc-40fb-ba62-9be697dc3fb9","BiomedicalConceptProperty"
"True","","VSORRESU","VSORRESU","BiomedicalConceptProperty_130","True","f3e551eb-dc71-4939-bc26-8365baca9935","BiomedicalConceptProperty"
"True","","LBTESTCD","LBTESTCD","BiomedicalConceptProperty_131","True","e792cd48-788d-4447-aa75-8f6180ee48ec","BiomedicalConceptProperty"
"True","float","LBORRES","LBORRES","BiomedicalConceptProperty_132","True","feea0045-20de-47aa-803c-78cb2d6414ad","BiomedicalConceptProperty"
"True","","LBORRESU","LBORRESU","BiomedicalConceptProperty_133","True","52b219e8-7108-4d19-b7a3-55160c952677","BiomedicalConceptProperty"
"True","","LBSPEC","LBSPEC","BiomedicalConceptProperty_134","True","dc4a5c30-57a3-44e6-be25-fe2e155ba27a","BiomedicalConceptProperty"
"True","","LBFAST","LBFAST","BiomedicalConceptProperty_135","True","1b510c05-e207-4f90-95ac-e5d11fa29228","BiomedicalConceptProperty"
"True","","LBTESTCD","LBTESTCD","BiomedicalConceptProperty_136","True","da00f323-20ae-4c23-8946-ac31251d8513","BiomedicalConceptProperty"
"True","text","LBORRES","LBORRES","BiomedicalConceptProperty_137","True","10a5f452-a485-47cc-872a-1d29d921089b","BiomedicalConceptProperty"
"True","","LBSPEC","LBSPEC","BiomedicalConceptProperty_138","True","a02c3816-0475-4aa6-a140-d34ac9c4cb27","BiomedicalConceptProperty"
"True","","LBFAST","LBFAST","BiomedicalConceptProperty_139","True","641a4670-6572-4dd0-9bf9-2bcd9af847a3","BiomedicalConceptProperty"
"True","","LBTESTCD","LBTESTCD","BiomedicalConceptProperty_140","True","4d20edcd-b86b-4526-aeba-e18a7e4563bd","BiomedicalConceptProperty"
"True","float","LBORRES","LBORRES","BiomedicalConceptProperty_141","True","9b5ac3d2-4bf2-4bcf-8d2c-8afdb1262f32","BiomedicalConceptProperty"
"True","","LBORRESU","LBORRESU","BiomedicalConceptProperty_142","True","7643acd9-96c3-4cf3-b14f-ca0a32ba5b19","BiomedicalConceptProperty"
"True","","LBSPEC","LBSPEC","BiomedicalConceptProperty_143","True","9f9960fe-1dc0-4705-8dda-224be76a3211","BiomedicalConceptProperty"
"True","","LBFAST","LBFAST","BiomedicalConceptProperty_144","True","6dcf28ac-957a-4bfa-96fe-62278cb5964a","BiomedicalConceptProperty"
"True","","LBTESTCD","LBTESTCD","BiomedicalConceptProperty_145","True","093806a5-109d-48e5-9385-aa1824ae1bae","BiomedicalConceptProperty"
"True","float","LBORRES","LBORRES","BiomedicalConceptProperty_146","True","ca96fdb6-381c-4749-87d6-ef1414c4bb90","BiomedicalConceptProperty"
"True","","LBORRESU","LBORRESU","BiomedicalConceptProperty_147","True","1f7c7919-de7c-446e-8ba8-12321ceebb88","BiomedicalConceptProperty"
"True","","LBSPEC","LBSPEC","BiomedicalConceptProperty_148","True","f3e16702-8cfd-4be2-9bc1-c67586de314b","BiomedicalConceptProperty"
"True","","LBFAST","LBFAST","BiomedicalConceptProperty_149","True","bdcd5d4c-c8fb-43fb-bcdb-31f9956dc432","BiomedicalConceptProperty"
"True","","LBTESTCD","LBTESTCD","BiomedicalConceptProperty_150","True","da2cffa9-2153-4102-bbdb-9adb2195c38f","BiomedicalConceptProperty"
"True","float","LBORRES","LBORRES","BiomedicalConceptProperty_151","True","56c409ae-fd86-4423-b5e4-5ff010783dfd","BiomedicalConceptProperty"
"True","","LBORRESU","LBORRESU","BiomedicalConceptProperty_152","True","5c30e650-0257-4e4c-81d6-2085c2b59496","BiomedicalConceptProperty"
"True","","LBSPEC","LBSPEC","BiomedicalConceptProperty_153","True","584b13a9-5dac-40d8-b7ef-c973760ef536","BiomedicalConceptProperty"
"True","","LBFAST","LBFAST","BiomedicalConceptProperty_154","True","7641f528-a78d-4043-9e54-cedf402a1aa0","BiomedicalConceptProperty"
"True","","LBTESTCD","LBTESTCD","BiomedicalConceptProperty_155","True","d06e1129-fb9a-4196-9cfa-cebecc25e0cd","BiomedicalConceptProperty"
"True","float","LBORRES","LBORRES","BiomedicalConceptProperty_156","True","82b002eb-103f-4a26-95eb-07186693fe5a","BiomedicalConceptProperty"
"True","","LBORRESU","LBORRESU","BiomedicalConceptProperty_157","True","d9c0de00-7ae5-43f4-b881-ec91700214ea","BiomedicalConceptProperty"
"True","","LBSPEC","LBSPEC","BiomedicalConceptProperty_158","True","bed6d2af-5c12-4195-998b-c2e2209e25d2","BiomedicalConceptProperty"
"True","","LBFAST","LBFAST","BiomedicalConceptProperty_159","True","308fc878-4fd2-4b25-be94-2754ac9776a7","BiomedicalConceptProperty"
"True","","LBTESTCD","LBTESTCD","BiomedicalConceptProperty_160","True","07b949ca-303b-46d8-a14e-51f93844e4b8","BiomedicalConceptProperty"
"True","float","LBORRES","LBORRES","BiomedicalConceptProperty_161","True","a1af874d-df08-48cd-8da5-89acc7e52af6","BiomedicalConceptProperty"
"True","","LBORRESU","LBORRESU","BiomedicalConceptProperty_162","True","fc1d926b-1904-45ac-85b2-b062ee168dbb","BiomedicalConceptProperty"
"True","","LBSPEC","LBSPEC","BiomedicalConceptProperty_163","True","a2c9d35b-373b-4dd8-85a5-515dbdac41a5","BiomedicalConceptProperty"
"True","","LBFAST","LBFAST","BiomedicalConceptProperty_164","True","1d2bbc7e-bbae-4b02-9b9f-58eec8a083c2","BiomedicalConceptProperty"
"True","","LBTESTCD","LBTESTCD","BiomedicalConceptProperty_165","True","c0305849-b540-43e8-acbf-bf135327cd7a","BiomedicalConceptProperty"
"True","float","LBORRES","LBORRES","BiomedicalConceptProperty_166","True","f2edd391-b481-451f-aa2d-e353590f9026","BiomedicalConceptProperty"
"True","","LBORRESU","LBORRESU","BiomedicalConceptProperty_167","True","75e78278-bade-4363-b4fb-14accad1a22d","BiomedicalConceptProperty"
"True","","LBSPEC","LBSPEC","BiomedicalConceptProperty_168","True","ef760390-46a4-491b-97c6-6561849a3d5e","BiomedicalConceptProperty"
"True","","LBFAST","LBFAST","BiomedicalConceptProperty_169","True","e169abba-9ea7-4423-a6e1-800c33890bbb","BiomedicalConceptProperty"
"True","text","AETERM","AETERM","BiomedicalConceptProperty_1","True","058cdf01-7015-4738-acea-828381491758","BiomedicalConceptProperty"
"True","text","AEDECOD","AEDECOD","BiomedicalConceptProperty_2","True","c18638e4-5d25-444b-ad53-90a975a7d4e7","BiomedicalConceptProperty"
"True","text","AEPRESP","AEPRESP","BiomedicalConceptProperty_3","True","2fa50559-2115-44b0-8ccf-4adddd3d9223","BiomedicalConceptProperty"
"True","text","AELOC","AELOC","BiomedicalConceptProperty_4","True","ce7b567f-1811-43e6-9248-925676e6fc92","BiomedicalConceptProperty"
"True","text","AESEV","AESEV","BiomedicalConceptProperty_5","True","1cc2eb01-0464-4d2f-b28a-e3170f418c5d","BiomedicalConceptProperty"
"True","text","AESER","AESER","BiomedicalConceptProperty_6","True","3b02739b-5b1e-4e5f-a197-2d39895066fe","BiomedicalConceptProperty"
"True","text","AEACN","AEACN","BiomedicalConceptProperty_7","True","33c1d42b-b75e-41c4-9a8d-9c2cab07e607","BiomedicalConceptProperty"
"True","text","AEACNOTH","AEACNOTH","BiomedicalConceptProperty_8","True","f437de29-ff8d-4ada-8377-a394deb7217f","BiomedicalConceptProperty"
"True","text","AEREL","AEREL","BiomedicalConceptProperty_9","True","3581b560-f78e-4cb1-aae7-53eb2dc2320e","BiomedicalConceptProperty"
"True","text","AERELNST","AERELNST","BiomedicalConceptProperty_10","True","13031a36-22bf-4d31-8a87-d00c3bbead3d","BiomedicalConceptProperty"
"True","text","AEPATT","AEPATT","BiomedicalConceptProperty_11","True","4fa3c330-9338-4274-8bf4-589879361ebb","BiomedicalConceptProperty"
"True","text","AEOUT","AEOUT","BiomedicalConceptProperty_12","True","891649d1-20b3-4605-9eae-e5114189f0b9","BiomedicalConceptProperty"
"True","text","AESCAN","AESCAN","BiomedicalConceptProperty_13","True","1b689e8c-ec86-4df6-8122-139a3d623dd2","BiomedicalConceptProperty"
"True","text","AESCONG","AESCONG","BiomedicalConceptProperty_14","True","37127daf-51f5-4654-afdd-9f88e8b0e7fe","BiomedicalConceptProperty"
"True","text","AESDISAB","AESDISAB","BiomedicalConceptProperty_15","True","b080de02-5d89-44c8-b473-f08312bb93be","BiomedicalConceptProperty"
"True","text","AESDTH","AESDTH","BiomedicalConceptProperty_16","True","8530ed08-96ab-4d6c-847d-3217e5b50622","BiomedicalConceptProperty"
"True","text","AESHOSP","AESHOSP","BiomedicalConceptProperty_17","True","eb62fe58-3375-4f3b-ab5c-2053446a2c3e","BiomedicalConceptProperty"
"True","text","AESLIFE","AESLIFE","BiomedicalConceptProperty_18","True","74d6e16f-b44a-4f0f-9909-277263b8bac8","BiomedicalConceptProperty"
"True","text","AESOD","AESOD","BiomedicalConceptProperty_19","True","cbfdcd13-50c4-4e59-9545-d3289f561d39","BiomedicalConceptProperty"
"True","text","AESMIE","AESMIE","BiomedicalConceptProperty_20","True","081332da-224b-4806-a566-49d9a43ba2f9","BiomedicalConceptProperty"
"True","text","AECONTRT","AECONTRT","BiomedicalConceptProperty_21","True","c965e25b-fabc-4ee9-ad6f-b073b831ff1c","BiomedicalConceptProperty"
"True","datetime","AESTDTC","AESTDTC","BiomedicalConceptProperty_22","True","06d20909-c36a-498e-8418-d52270af83ff","BiomedicalConceptProperty"
"True","datetime","AEENDTC","AEENDTC","BiomedicalConceptProperty_23","True","74d27e29-636d-47e7-910c-aa8b76ad9698","BiomedicalConceptProperty"
"True","","VSTESTCD","VSTESTCD","BiomedicalConceptProperty_24","True","6d69fda9-c7ec-44ef-a57e-f4276e55c203","BiomedicalConceptProperty"
"True","integer","VSORRES","VSORRES","BiomedicalConceptProperty_25","True","fe52b06b-2a83-46c1-b95c-638ca55958f8","BiomedicalConceptProperty"
"True","","VSORRESU","VSORRESU","BiomedicalConceptProperty_26","True","1ac56ed7-25fb-4044-8ac0-205084e9e512","BiomedicalConceptProperty"
"True","","VSPOS","VSPOS","BiomedicalConceptProperty_27","True","1e6f3bbf-993c-4d7e-aecd-ee13265a529a","BiomedicalConceptProperty"
"True","","VSLOC","VSLOC","BiomedicalConceptProperty_28","True","fba042fa-de9d-4695-9cb2-3f9e0c629bba","BiomedicalConceptProperty"
"True","","VSLAT","VSLAT","BiomedicalConceptProperty_29","True","070c3644-def2-4eff-a5f0-9ce1b745ea97","BiomedicalConceptProperty"
"True","","VSTESTCD","VSTESTCD","BiomedicalConceptProperty_30","True","eab7fb6b-f11c-41c1-a452-3e6e0e7c29eb","BiomedicalConceptProperty"
"True","integer","VSORRES","VSORRES","BiomedicalConceptProperty_31","True","bf800e20-8137-4fd7-b15e-cdf166a95d6d","BiomedicalConceptProperty"
"True","","VSORRESU","VSORRESU","BiomedicalConceptProperty_32","True","64f3a726-1022-485e-bd51-c9fc49446265","BiomedicalConceptProperty"
"True","","VSPOS","VSPOS","BiomedicalConceptProperty_33","True","27fa6e46-194b-45d6-b7b1-55ea8fafd7dd","BiomedicalConceptProperty"
"True","","VSLOC","VSLOC","BiomedicalConceptProperty_34","True","fc6013d4-24e7-47f8-9b7c-225cbd913b4e","BiomedicalConceptProperty"
"True","","VSLAT","VSLAT","BiomedicalConceptProperty_35","True","6e6916d9-50db-4832-93e5-628335efc22c","BiomedicalConceptProperty"
"True","","VSTESTCD","VSTESTCD","BiomedicalConceptProperty_36","True","2e8311c5-d6d7-441f-a084-1ed8a1523f32","BiomedicalConceptProperty"
"True","float","VSORRES","VSORRES","BiomedicalConceptProperty_37","True","b5ad042e-55f2-464b-a6c3-797b5d909e4d","BiomedicalConceptProperty"
"True","","VSORRESU","VSORRESU","BiomedicalConceptProperty_38","True","41ef2d4c-38bd-459d-9b67-03fa7d0ae7d1","BiomedicalConceptProperty"
"True","","VSLOC","VSLOC","BiomedicalConceptProperty_39","True","1932a877-cd0c-4706-9c75-e67328c9b2a3","BiomedicalConceptProperty"
"True","","VSTESTCD","VSTESTCD","BiomedicalConceptProperty_40","True","6651c224-af3a-42a7-b72c-0fe3bc26973f","BiomedicalConceptProperty"
"True","float","VSORRES","VSORRES","BiomedicalConceptProperty_41","True","1af8e636-141d-42ef-aea7-40d7f434a26a","BiomedicalConceptProperty"
"True","","VSORRESU","VSORRESU","BiomedicalConceptProperty_42","True","c2bab00d-81ea-4e4f-a0c9-c32d18bf4a34","BiomedicalConceptProperty"
"True","","VSTESTCD","VSTESTCD","BiomedicalConceptProperty_43","True","89f5250c-bc06-4d5e-af9d-a04dff8b9274","BiomedicalConceptProperty"
"True","float","VSORRES","VSORRES","BiomedicalConceptProperty_44","True","ee824bf3-a239-4f8c-b204-0c3ed38bf23b","BiomedicalConceptProperty"
"True","","VSORRESU","VSORRESU","BiomedicalConceptProperty_45","True","01c6eed8-7f73-4b9a-82d9-753c031ded9c","BiomedicalConceptProperty"
"True","","LBTESTCD","LBTESTCD","BiomedicalConceptProperty_46","True","6cd4092d-9cd3-4b09-8d44-80525aea674f","BiomedicalConceptProperty"
"True","float","LBORRES","LBORRES","BiomedicalConceptProperty_47","True","ceaac60a-ead7-4974-bec0-ae4240686bb0","BiomedicalConceptProperty"
"True","","LBORRESU","LBORRESU","BiomedicalConceptProperty_48","True","c989448e-467a-421f-8fa9-a59d3c52c7b0","BiomedicalConceptProperty"
"True","","LBSPEC","LBSPEC","BiomedicalConceptProperty_49","True","5e1710d3-949a-4855-b0a8-2713a2cbc82d","BiomedicalConceptProperty"
"True","","LBFAST","LBFAST","BiomedicalConceptProperty_50","True","bbadd855-0ed1-48e6-baf9-e54a55f0431e","BiomedicalConceptProperty"
"True","","LBTESTCD","LBTESTCD","BiomedicalConceptProperty_51","True","794cd37a-d854-40b5-b65c-97a63173de68","BiomedicalConceptProperty"
"True","text","LBORRES","LBORRES","BiomedicalConceptProperty_52","True","90dafe44-6d8d-46bb-b3c7-e057171bb21c","BiomedicalConceptProperty"
"True","","LBSPEC","LBSPEC","BiomedicalConceptProperty_53","True","84096ca1-632c-4975-95d3-0ee30bda2523","BiomedicalConceptProperty"
"True","","LBFAST","LBFAST","BiomedicalConceptProperty_54","True","978eb12c-3d1e-4f04-be47-e5037ce84a71","BiomedicalConceptProperty"
"True","","LBTESTCD","LBTESTCD","BiomedicalConceptProperty_55","True","3b436d83-8403-4869-a073-de1a5139a5ae","BiomedicalConceptProperty"
"True","float","LBORRES","LBORRES","BiomedicalConceptProperty_56","True","2874672d-a9c4-4d5e-8fe2-5c4eec6163d2","BiomedicalConceptProperty"
"True","","LBORRESU","LBORRESU","BiomedicalConceptProperty_57","True","634e18dc-dfde-4cc0-a3b5-662af1d3f8df","BiomedicalConceptProperty"
"True","","LBSPEC","LBSPEC","BiomedicalConceptProperty_58","True","0588e9dd-b69f-4d47-b63a-83cd5fe9c43e","BiomedicalConceptProperty"
"True","","LBFAST","LBFAST","BiomedicalConceptProperty_59","True","81a82838-1152-4856-905b-f2cf723e37c9","BiomedicalConceptProperty"
"True","","LBTESTCD","LBTESTCD","BiomedicalConceptProperty_60","True","ec3a353f-6a7b-4ab7-b978-80db5f6011ce","BiomedicalConceptProperty"
"True","float","LBORRES","LBORRES","BiomedicalConceptProperty_61","True","c143942a-53c5-4ac6-8655-cd50028ca301","BiomedicalConceptProperty"
"True","","LBORRESU","LBORRESU","BiomedicalConceptProperty_62","True","cd7ea79f-3ffe-4c93-b628-0db7477805c8","BiomedicalConceptProperty"
"True","","LBSPEC","LBSPEC","BiomedicalConceptProperty_63","True","412a07df-23ab-405e-b1ac-e0954698518c","BiomedicalConceptProperty"
"True","","LBFAST","LBFAST","BiomedicalConceptProperty_64","True","ae748aeb-5b04-4109-a003-c4c7957450a4","BiomedicalConceptProperty"
"True","","LBTESTCD","LBTESTCD","BiomedicalConceptProperty_65","True","cf565662-b30a-43a7-a81e-a8539f7577a2","BiomedicalConceptProperty"
"True","float","LBORRES","LBORRES","BiomedicalConceptProperty_66","True","a8bf7c2f-68f4-4ece-bfa8-ebeed6db34da","BiomedicalConceptProperty"
"True","","LBORRESU","LBORRESU","BiomedicalConceptProperty_67","True","ef71342f-0ffd-4b86-9e1f-de965459da1c","BiomedicalConceptProperty"
"True","","LBSPEC","LBSPEC","BiomedicalConceptProperty_68","True","f67820d0-5b8a-4469-9f84-3e5a2acbe9ff","BiomedicalConceptProperty"
"True","","LBFAST","LBFAST","BiomedicalConceptProperty_69","True","91093903-dd9f-4bf7-9f90-7083cd12b304","BiomedicalConceptProperty"
"True","","LBTESTCD","LBTESTCD","BiomedicalConceptProperty_70","True","bc3d4a96-f7d2-4edb-a75f-5fb612c8db91","BiomedicalConceptProperty"
"True","float","LBORRES","LBORRES","BiomedicalConceptProperty_71","True","c6a49883-4973-455c-a196-b0ba60f3442e","BiomedicalConceptProperty"
"True","","LBORRESU","LBORRESU","BiomedicalConceptProperty_72","True","44bfa784-cb2a-4037-b292-6c603f333d4b","BiomedicalConceptProperty"
"True","","LBSPEC","LBSPEC","BiomedicalConceptProperty_73","True","7b64a304-3238-4d4a-a8fc-244275221684","BiomedicalConceptProperty"
"True","","LBFAST","LBFAST","BiomedicalConceptProperty_74","True","47d918a3-c0b6-4497-94b0-1c8950de3227","BiomedicalConceptProperty"
