"uuid:ID","otherReason","id","instanceType"
"7a327217-f8b0-4f31-9354-831f4bdfc84c","","StudyAmendmentReason_1","StudyAmendmentReason"
"5510f1fb-ebb6-4a45-8ce6-8d67c6573c01","Fix typographical errors","StudyAmendmentReason_2","StudyAmendmentReason"
