"dateValue","name","label","id","instanceType","uuid:ID","description"
"2006-06-01","D_APPROVE","Design Approval","GovernanceDate_1","GovernanceDate","01344475-27fd-43ec-b44f-426b284bb1eb","Design approval date"
"2006-07-01","P_APPROVE","Protocol Approval","GovernanceDate_2","GovernanceDate","8eb9eac3-dcfe-4e93-9e0c-1b08c79d4b2b","Protocol document approval date"
