"name","label","id","instanceType","uuid:ID","description"
"IE_Dict","IE Dictionary","SyntaxTemplateDictionary_1","SyntaxTemplateDictionary","d54ff6c5-2f88-4237-96fb-6ad53ca140a1","Dictionary for IE"
"AS_Dict","Assessment Dictionary","SyntaxTemplateDictionary_2","SyntaxTemplateDictionary","1bbc9804-63ce-410e-aa48-c69ecbbe6775","Dictionary for Study Assessments"
