"uuid:ID","id","instanceType"
"d4c47fcc-a0ed-4fe9-a86e-c67dd343f5b2","StudyCell_1","StudyCell"
"ff7da5eb-5aa7-4988-acc2-0501d178cbe9","StudyCell_2","StudyCell"
"e0dfd9d1-870a-4e85-be32-c8631ee897a4","StudyCell_3","StudyCell"
"e9a39ec2-c9fc-4a29-9bb4-a9723be1fe78","StudyCell_4","StudyCell"
"6912b712-43c1-4234-b1de-b90f136bb4b2","StudyCell_5","StudyCell"
"8e72ae29-4c4e-4fe2-8a38-1def97a2cb3a","StudyCell_6","StudyCell"
"97e77d48-8298-4c10-9891-efee2ef34a9c","StudyCell_7","StudyCell"
"fb84cc01-0514-469e-896e-9c7f0861f441","StudyCell_8","StudyCell"
"0b4c36cb-c4b5-49e6-bb19-947fa3fed787","StudyCell_9","StudyCell"
"c1c2b2ce-6222-4f56-ad84-86abc273d99f","StudyCell_10","StudyCell"
"9a8ad41f-9a09-4cf6-ad2f-0e19b15c7177","StudyCell_11","StudyCell"
"4983c07a-9dd4-42fc-a6b6-61df7ec1eed0","StudyCell_12","StudyCell"
"c84ec1c6-cc0e-4dca-97ee-c8537870c78d","StudyCell_13","StudyCell"
"acd86f97-fe7e-4d8e-863e-0f5278029a3c","StudyCell_14","StudyCell"
"965fcd84-9240-4f81-b229-19796bbaa25f","StudyCell_15","StudyCell"
