"uuid:ID","isApproximate","instanceType","maxValue","minValue","id"
"4a7059bb-798b-4ba0-81be-e68aa34a264b","False","Range","300.0","300.0","Range_2"
"4110c64b-3eb2-4e34-bd7f-3be258d9cd38","False","Range","300.0","300.0","Range_1"
"0ff60c58-a9af-43bb-b131-e0975d42ae6f","False","Range","100.0","50.0","Range_3"
