"id","otherReason","uuid:ID","instanceType"
"StudyAmendmentReason_1","","92261718-bc21-487f-9942-90d68d437ff2","StudyAmendmentReason"
"StudyAmendmentReason_2","Fix typographical errors","7a31b7a8-f443-454a-a792-bd2dc26ee7ea","StudyAmendmentReason"
