"name","uuid:ID","instanceType","description","label","id"
"IE_Dict","140081e3-f650-4d1c-829b-63d844c9ecc6","SyntaxTemplateDictionary","Dictionary for IE","IE Dictionary","SyntaxTemplateDictionary_1"
"AS_Dict","579c6d90-fc4c-466f-ae86-66ea79e6c3fb","SyntaxTemplateDictionary","Dictionary for Study Assessments","Assessment Dictionary","SyntaxTemplateDictionary_2"
