"uuid:ID","codeSystem","id","decode","codeSystemVersion","code"
"a4c2d8ad-5018-4e27-bdcd-d00f8b30becf","http://www.cdisc.org","Code_1","Interventional Study","2023-09-29","C98388"
"a9f778d3-e87e-497f-9d04-8e5d455fb396","http://www.cdisc.org","Code_2","Phase III Trial","2023-09-29","C15602"
"55a8102e-1bbe-4fa2-baad-ba0bdfd84151","http://www.cdisc.org","Code_6","Sponsor Approval Date","2023-09-29","C132352"
"cfc644b6-b77f-4184-8e00-60ded3f3aefe","http://www.cdisc.org","Code_7","Global","2023-09-29","C68846"
"559aab34-fb9d-47dd-be03-b6d6544a66ea","SPONSOR","Code_3","Vacines Group","12","VAC"
"35b08e15-8997-4a5f-bd78-d7a0a36d6fd9","SPONSOR","Code_4","Regulatory","12","REG"
"a2930f50-edbf-4b89-bb79-623aa4374516","http://www.cdisc.org","Code_10","Study Registry","2023-09-29","C93453"
"dec3d9f1-2478-4826-8b37-b6b0a67198de","ISO 3166 1 alpha3","Code_11","United Kingdom of Great Britain and Northern Ireland","2020-08","GBR"
"893641af-045e-4968-8c69-92859ea9efdd","http://www.cdisc.org","Code_12","Clinical Study Sponsor","2023-09-29","C70793"
"ba13f578-941c-4e51-b561-32a05676e5c6","ISO 3166 1 alpha3","Code_13","France","2020-08","FRA"
"4cb0e7d5-e20a-448a-989e-8b7a2972ad20","http://www.cdisc.org","Code_42","Basic Research","2023-09-29","C15714"
"cbcfbf4f-f037-4e66-8e8d-0be03d5252ad","http://www.cdisc.org","Code_43","Device Feasibility Study","2023-09-29","C139174"
"befcbe89-77bd-498e-a9fa-ccb76ca21f2b","http://www.cdisc.org","Code_44","Efficacy Study","2023-09-29","C49666"
"e942e2d3-e17a-410f-9c00-eccc263e8265","SPONSOR","Code_39","Type 2 diabetes","12","T2_DIABETES"
"41058775-895c-4c77-b00f-c85edddc08b4","SNOMED","Code_40","Diabetes mellitus (disorder)","January 31, 2018","73211009"
"d1bc366b-7a2e-4723-9790-ce345b4f6272","http://www.cdisc.org","Code_45","Parallel Study","2023-09-29","C82639"
"84596656-b534-40ef-a308-bd46cbaae399","http://www.cdisc.org","Code_16","Visit","2023-09-29","C25716"
"c2e4381b-a924-4eb7-a330-3c39f4f48b34","http://www.cdisc.org","Code_17","Clinic","2023-09-29","C51282"
"cabc03b9-4f9a-4e0f-8bfe-0f76c5f1d927","http://www.cdisc.org","Code_18","In Person","2023-09-29","C175574"
"95e564a8-5491-41f4-a2c0-e125c5e1a7b3","http://www.cdisc.org","Code_19","Visit","2023-09-29","C25716"
"f9aef52e-346b-4c10-ac9d-5ed818779df4","http://www.cdisc.org","Code_20","Clinic","2023-09-29","C51282"
"4ffa059a-415a-4db2-a4d3-8772b804e4a0","http://www.cdisc.org","Code_21","In Person","2023-09-29","C175574"
"749018d0-afde-4541-90cb-396c67622687","http://www.cdisc.org","Code_22","Visit","2023-09-29","C25716"
"5acc1cdb-3f8a-4fe4-acc9-fce855050ea9","http://www.cdisc.org","Code_23","Clinic","2023-09-29","C51282"
"c3febcd4-beaa-4ec6-a169-adffa7e1d725","http://www.cdisc.org","Code_24","In Person","2023-09-29","C175574"
"d91942d2-eea9-419a-af8a-afcb447abaed","http://www.cdisc.org","Code_25","Visit","2023-09-29","C25716"
"da88df8f-cbbb-4ba7-810a-0ca23b6093ca","http://www.cdisc.org","Code_26","Clinic","2023-09-29","C51282"
"687acdb3-47d1-41df-9186-e67e4277e527","http://www.cdisc.org","Code_27","In Person","2023-09-29","C175574"
"dbe2228b-ef3f-46a0-80ef-db28ac7f3d41","http://www.cdisc.org","Code_28","Visit","2023-09-29","C25716"
"970a2355-0c84-4544-b1cf-8366712946fe","http://www.cdisc.org","Code_29","Home","2023-09-29","C18002"
"00663084-897a-4106-9660-7c4e82f71806","http://www.cdisc.org","Code_30","Telephone Call","2023-09-29","C171537"
"b2206b6f-b7de-4793-a33a-ce707faaf5a6","http://www.cdisc.org","Code_72","Male","2023-09-29","C20197"
"a3f37d61-b26a-4f16-9b48-ff8da4168d72","http://www.cdisc.org","Code_73","Female","2023-09-29","C16576"
"8303d363-dcb6-4854-b1dc-ec242b542b96","http://www.cdisc.org","Code_74","Unknown","2023-09-29","C17998"
"b72d17de-45e1-407f-a741-ca2b45d630ed","NCI Thesaurus","Code_75","Sex","","C28421"
"a9d99568-0919-4aa8-a69d-6dce8d7ca9d3","NCI Thesaurus","Code_71","Sex","","C28421"
"dbb2184c-9653-45d4-89b9-fa0ab893b037","http://www.cdisc.org","Code_77","Unknown","2023-09-29","C17998"
"a0f2b968-00b6-41a6-833e-f88baa2a97ce","NCI Thesaurus","Code_78","Race","","C17049"
"28d9ea3a-6870-4629-ae1e-82be55546464","NCI Thesaurus","Code_76","Race","","C17049"
"b1dd5ec8-fad1-44bd-99b0-7fbd0f00cd1c","NCI Thesaurus","Code_80","Vital Signs Result","","C173522"
"53a18852-c117-461f-97c9-7d555337d93f","http://www.cdisc.org","Code_81","Kilogram","2023-09-29","C28252"
"fef1c39c-df1b-470a-9fa7-50db7f3dcfd2","http://www.cdisc.org","Code_82","Gram","2023-09-29","C48155"
"6e64a85a-1e48-4d4c-8f34-aecf620effca","http://www.cdisc.org","Code_83","Pound","2023-09-29","C48531"
"0d7fb530-c565-45be-b89c-d08859e3bcbd","NCI Thesaurus","Code_84","Unit of Weight","","C48208"
"ef91fbf3-a64c-4c3f-8352-4a5684ea08c5","NCI Thesaurus","Code_79","Body Weight","","C81328"
"3ca2cb4c-5487-4317-956e-9776ecb37545","http://www.cdisc.org","Code_31","Active Comparator Arm","2023-09-29","C174267"
"67b87afc-4644-4de8-98ce-a7ea1b1b1dc3","http://www.cdisc.org","Code_32","Data Generated Within Study","2023-09-29","C188866"
"9c4522e4-47c8-499e-b4ac-9d981c7aa2a4","http://www.cdisc.org","Code_33","Placebo Comparator Arm","2023-09-29","C174268"
"e2c73e4e-eeae-4cd0-a603-a9c84654cae0","http://www.cdisc.org","Code_34","Data Generated Within Study","2023-09-29","C188866"
"cec657e8-ef84-4fe0-8963-34ee9389c71f","http://www.cdisc.org","Code_41","Open Label Study","2023-09-29","C49659"
"923146ed-cae0-4bc4-9607-24a5a6570045","http://www.cdisc.org","Code_35","Trial Screening","2023-09-29","C48262"
"bbe50314-8693-44ee-9d2a-bdd95dd4b520","http://www.cdisc.org","Code_36","Baseline Epoch","2023-09-29","C125938"
