"instanceType","id","uuid:ID","otherReason"
"StudyAmendmentReason","StudyAmendmentReason_1","f7854ab8-0503-49ff-84f5-5b3a3ab81831",""
"StudyAmendmentReason","StudyAmendmentReason_2","88ddfa2b-6a75-448c-b3f8-b438ff50fec0","Fix typographical errors"
