"maxValue","instanceType","minValue","id","uuid:ID","isApproximate"
"300.0","Range","300.0","Range_2","83bef54f-65ca-4807-816d-2a1908f60956","False"
"300.0","Range","300.0","Range_1","e8d9c40c-71e2-4ae8-99f4-a31f9d201eb6","False"
"100.0","Range","50.0","Range_3","05bcb635-c7be-4173-8935-b955a3af4e35","False"
