"otherReason","id","uuid:ID","instanceType"
"","StudyAmendmentReason_1","2dd8bce3-3b22-48fb-9a26-5ad869f6cf0e","StudyAmendmentReason"
"Fix typographical errors","StudyAmendmentReason_2","b158ba9e-6412-4f9c-98ab-1d2e6f4d908f","StudyAmendmentReason"
