"id","instanceType","uuid:ID","otherReason"
"StudyAmendmentReason_1","StudyAmendmentReason","e7bc90ed-3f1d-4a94-9c86-0e262d11956a",""
"StudyAmendmentReason_2","StudyAmendmentReason","5d9e24dc-9c59-45f2-875c-6e43059767d6","Fix typographical errors"
