"id","uuid:ID","description","instanceType","name","label","parameterMap"
"SyntaxTemplateDictionary_1","4737bd40-606f-4e38-86a7-b3524fbfced7","Dictionary for IE","SyntaxTemplateDictionary","IE_Dict","IE Dictionary","{'min_age': {'klass': 'Range', 'id': 'Range_3', 'attribute': 'maxValue'}, 'max_age': {'klass': 'Range', 'id': 'Range_3', 'attribute': 'minValue'}, 'StudyPopulation': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'description'}}"
"SyntaxTemplateDictionary_2","2b8304e4-03da-449e-882c-c46c5a38ae6f","Dictionary for Study Assessments","SyntaxTemplateDictionary","AS_Dict","Assessment Dictionary","{'Activity1': {'klass': 'Activity', 'id': 'Activity_6', 'attribute': 'label'}}"
