"id","instanceType","uuid:ID","otherReason"
"StudyAmendmentReason_1","StudyAmendmentReason","395ca6aa-b4ac-4abd-b800-fb7ce70bb442",""
"StudyAmendmentReason_2","StudyAmendmentReason","68245fff-944b-4954-a14a-1ee407978d03","Fix typographical errors"
