"description","name","studyArmDataOriginDescription","id","uuid:ID","label"
"Active Substance","Active","Data collected from subjects","StudyArm_1","c2af7506-6d4c-4545-b4bc-2a5b1b2c0866",""
"Placebo","Placebo","Data collected from subjects","StudyArm_2","259caf16-1226-4878-a58d-6e92eb3012b9",""
