"id:ID","otherReason","id","uuid"
"470","","StudyAmendmentReason_1","3ebc1af4-0fe3-46b7-ac8d-f2c37d8a05fc"
"471","Fix typographical errors","StudyAmendmentReason_2","70ae78a7-698a-4bcd-9cf9-6806f3c968ac"
