"id:ID","label","text","parameterMap","description","name","uuid","id"
"818","IE Dictionary","","{'min_age': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'plannedMinimumAgeOfParticipants'}, 'max_age': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'plannedMaximumAgeOfParticipants'}, 'StudyPopulation': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'populationDescription'}}","Dictionary for IE","IE_Dict","3c81b468-bcec-4875-882b-8946028598c1","SyntaxTemplateDictionary_1"
"819","Assessment Dictionary","","{'Activity1': {'klass': 'Activity', 'id': 'Activity_6', 'attribute': 'label'}}","Dictionary for Study Assessments","AS_Dict","fcc05f36-368f-4c27-a78c-0e00961551f7","SyntaxTemplateDictionary_2"
