"dateValue","uuid:ID","description","label","name","id"
"2006-06-01","9d3f4a5d-6f93-476d-9c68-ed38360725f0","Design approval date","Design Approval","D_APPROVE","GovernanceDate_1"
"2006-07-01","3fe3bc64-a7a9-4f09-8622-8e10876b0cd4","Protocol document approval date","Protocol Approval","P_APPROVE","GovernanceDate_2"
