"name","uuid:ID","instanceType","description","label","id"
"IE_Dict","844e129f-ab0d-481f-9735-447205e9e3f0","SyntaxTemplateDictionary","Dictionary for IE","IE Dictionary","SyntaxTemplateDictionary_1"
"AS_Dict","21a11adf-6d2c-463a-b690-79c95b127201","SyntaxTemplateDictionary","Dictionary for Study Assessments","Assessment Dictionary","SyntaxTemplateDictionary_2"
