"instanceType","uuid:ID","otherReason","id"
"StudyAmendmentReason","9b6a493c-6b83-4540-a438-fa949662325f","","StudyAmendmentReason_1"
"StudyAmendmentReason","ce48604c-330f-4790-bf2b-4de51ee43d3a","Fix typographical errors","StudyAmendmentReason_2"
