"instanceType","label","name","uuid:ID","description","id"
"SyntaxTemplateDictionary","IE Dictionary","IE_Dict","f5832c1f-4389-468f-85f8-db42417eba03","Dictionary for IE","SyntaxTemplateDictionary_1"
"SyntaxTemplateDictionary","Assessment Dictionary","AS_Dict","c55ce431-70f9-460f-b6db-f30c2a84af0a","Dictionary for Study Assessments","SyntaxTemplateDictionary_2"
