"uuid:ID","instanceType","id","otherReason"
"ffe3d7cc-464b-4e60-9682-5efb826d14f6","StudyAmendmentReason","StudyAmendmentReason_1",""
"87f1439f-aaac-4a8b-ad14-0c3faa956a23","StudyAmendmentReason","StudyAmendmentReason_2","Fix typographical errors"
