"instanceType","label","name","isRequired","isEnabled","uuid:ID","id","datatype"
"BiomedicalConceptProperty","Sex","Sex","True","True","6015bcda-1f09-4720-8c42-605ed5e505c3","BiomedicalConceptProperty_116","string"
"BiomedicalConceptProperty","Race","Race","True","True","69780b6b-abf0-4c55-8230-8ed7bf3a0bd9","BiomedicalConceptProperty_117","string"
"BiomedicalConceptProperty","VSTESTCD","VSTESTCD","True","True","66cf3dca-e78d-485f-9b8b-84cfbbbb02f4","BiomedicalConceptProperty_118",""
"BiomedicalConceptProperty","VSORRES","VSORRES","True","True","37bfac0e-55db-44e4-b4f5-1ca108ce11e0","BiomedicalConceptProperty_119","float"
"BiomedicalConceptProperty","VSORRESU","VSORRESU","True","True","33aba2eb-3835-4ff1-8a7d-014360429ddc","BiomedicalConceptProperty_120",""
"BiomedicalConceptProperty","VSLOC","VSLOC","True","True","d670f988-a417-4139-aad6-2aaf551439e5","BiomedicalConceptProperty_121",""
"BiomedicalConceptProperty","VSTESTCD","VSTESTCD","True","True","53314fbe-157a-476f-b711-c8002772a566","BiomedicalConceptProperty_122",""
"BiomedicalConceptProperty","VSORRES","VSORRES","True","True","f3b0d2f8-8ec5-451e-88da-2606583eb01b","BiomedicalConceptProperty_123","float"
"BiomedicalConceptProperty","VSORRESU","VSORRESU","True","True","f3ee109e-7c4c-48a2-ac7e-880065f3edc3","BiomedicalConceptProperty_124",""
"BiomedicalConceptProperty","VSTESTCD","VSTESTCD","True","True","adfde69c-581b-45ba-b77c-915e38fa90df","BiomedicalConceptProperty_125",""
"BiomedicalConceptProperty","VSORRES","VSORRES","True","True","0df9702c-d21a-44ea-9b31-89665a085d0d","BiomedicalConceptProperty_126","float"
"BiomedicalConceptProperty","VSORRESU","VSORRESU","True","True","fd92c0a8-cffa-4ec1-961b-2867c8455c26","BiomedicalConceptProperty_127",""
"BiomedicalConceptProperty","LBTESTCD","LBTESTCD","True","True","7bfce407-d076-4a0e-baf1-3886684d0ba8","BiomedicalConceptProperty_128",""
"BiomedicalConceptProperty","LBORRES","LBORRES","True","True","f589a675-5174-42e5-ba95-0ad5b7584239","BiomedicalConceptProperty_129","float"
"BiomedicalConceptProperty","LBORRESU","LBORRESU","True","True","1b9ec714-26a9-4db1-8b6e-fbac64f729f7","BiomedicalConceptProperty_130",""
"BiomedicalConceptProperty","LBSPEC","LBSPEC","True","True","095bc581-4659-44a7-b2a0-6b270e8b4299","BiomedicalConceptProperty_131",""
"BiomedicalConceptProperty","LBFAST","LBFAST","True","True","6773b124-581d-4b23-9e9c-b1d31ec09c4b","BiomedicalConceptProperty_132",""
"BiomedicalConceptProperty","LBTESTCD","LBTESTCD","True","True","b771f7be-aea1-429a-b8b8-5f5a8c98dee1","BiomedicalConceptProperty_133",""
"BiomedicalConceptProperty","LBORRES","LBORRES","True","True","3b80676e-6e1d-4301-9856-d09ac516c6e9","BiomedicalConceptProperty_134","text"
"BiomedicalConceptProperty","LBSPEC","LBSPEC","True","True","69c8a61b-f7a7-4c3b-8abf-193a689574ba","BiomedicalConceptProperty_135",""
"BiomedicalConceptProperty","LBFAST","LBFAST","True","True","ca734d79-4f9a-44b7-bc0a-46f31abb396f","BiomedicalConceptProperty_136",""
"BiomedicalConceptProperty","LBTESTCD","LBTESTCD","True","True","fa9627ed-eb20-43f3-b9bb-1fce298802a6","BiomedicalConceptProperty_137",""
"BiomedicalConceptProperty","LBORRES","LBORRES","True","True","e04002e0-3e52-4711-a5c0-2a1db268d423","BiomedicalConceptProperty_138","float"
"BiomedicalConceptProperty","LBORRESU","LBORRESU","True","True","d1e390b7-51de-4d83-aa4a-583a54805ace","BiomedicalConceptProperty_139",""
"BiomedicalConceptProperty","LBSPEC","LBSPEC","True","True","0ca8bf37-2f52-4a93-8860-5157cb06c371","BiomedicalConceptProperty_140",""
"BiomedicalConceptProperty","LBFAST","LBFAST","True","True","0a135d97-9b45-4569-814c-20f8152724fe","BiomedicalConceptProperty_141",""
"BiomedicalConceptProperty","LBTESTCD","LBTESTCD","True","True","a3645bfc-f709-45f7-86a0-ae5dd145426a","BiomedicalConceptProperty_142",""
