"instanceType","label","name","uuid:ID","description","id"
"StudyEpoch","Screening","Screening","154b1dfc-ac46-4fe4-878c-ee58ad721e79","Screening Epoch","StudyEpoch_1"
"StudyEpoch","Treatment One","Treatment 1","dc8df27a-c49f-44a5-9b93-96f139993eed","Treatment Epoch","StudyEpoch_2"
"StudyEpoch","Treatment Two","Treatment 2","0579b304-47d4-45d7-a549-28d2271050a0","Treatment Epoch","StudyEpoch_3"
"StudyEpoch","Treatment Three","Treatment 3","d427e835-0762-4143-978d-8dfb6b61b9d7","Treatment Epoch","StudyEpoch_4"
"StudyEpoch","Follow Up","Follow-Up","61f85916-b413-4826-8b3e-d883ce02b307","Follow-up Epoch","StudyEpoch_5"
