"instanceType","label","name","uuid:ID","description","id","dateValue"
"GovernanceDate","Design Approval","D_APPROVE","d2b766d6-6185-4b83-b611-42b7d2f34b03","Design approval date","GovernanceDate_1","2006-06-01"
"GovernanceDate","Protocol Approval","P_APPROVE","8dfe31c7-cad4-4406-83ce-04ce53687e51","Protocol document approval date","GovernanceDate_2","2006-07-01"
