"instanceType","id","uuid:ID","maxValue","minValue","isApproximate"
"Range","Range_2","01324434-bbd7-4eee-b628-11e440424148","300.0","300.0","False"
"Range","Range_1","b22b83ec-2339-4ba1-9088-fe51107a2ea6","300.0","300.0","False"
"Range","Range_3","fa869460-f5d4-46b8-9f63-e5688b603e30","100.0","50.0","False"
