"otherReason","instanceType","uuid:ID","id"
"","StudyAmendmentReason","6e294534-e3d1-4485-b65f-12af85af0802","StudyAmendmentReason_1"
"Fix typographical errors","StudyAmendmentReason","454be7f6-27ea-46dc-a3a2-61615725b713","StudyAmendmentReason_2"
