"otherReason","uuid:ID","instanceType","id"
"","443af4b3-75e6-41c7-b6f0-ea0e7d886b26","StudyAmendmentReason","StudyAmendmentReason_1"
"Fix typographical errors","1fb228a9-73b4-44fa-bc27-361751bae561","StudyAmendmentReason","StudyAmendmentReason_2"
