"id","instanceType","otherReason","uuid:ID"
"StudyAmendmentReason_1","StudyAmendmentReason","","e67fefe7-545a-4120-9960-d72cf0282094"
"StudyAmendmentReason_2","StudyAmendmentReason","Fix typographical errors","3947d94c-37f1-40a4-a9b6-619355c45152"
