"maxValue","minValue","id","instanceType","uuid:ID","isApproximate"
"300.0","300.0","Range_2","Range","4b890c70-e48f-4fcf-a4ee-5130c6ff9cce","False"
"300.0","300.0","Range_1","Range","ccb94730-bf74-4567-b6b5-a22442b54fe0","False"
"100.0","50.0","Range_3","Range","68a7e93a-9ea7-4e04-94ae-243e7538bde2","False"
