"label","datatype","id","instanceType","name","isEnabled","uuid:ID","isRequired"
"DSDECOD","text","BiomedicalConceptProperty_116","BiomedicalConceptProperty","DSDECOD","True","dc052d86-2c5a-4912-94d0-97fb51d679f6","True"
"DSTERM","text","BiomedicalConceptProperty_117","BiomedicalConceptProperty","DSTERM","True","941846d1-8545-4b45-a593-4f67ec8f4b2b","True"
"DSSTDTC","datetime","BiomedicalConceptProperty_118","BiomedicalConceptProperty","DSSTDTC","True","03ffb752-3763-45a4-9f0c-c551169d63d9","True"
"Sex","string","BiomedicalConceptProperty_119","BiomedicalConceptProperty","Sex","True","a9b5b517-b345-4974-86a9-7af56085d2aa","True"
"Race","string","BiomedicalConceptProperty_120","BiomedicalConceptProperty","Race","True","f12412e2-f684-436e-aeab-3ecfaad872ee","True"
"VSTESTCD","","BiomedicalConceptProperty_121","BiomedicalConceptProperty","VSTESTCD","True","622f20a2-c93d-433b-aba7-7def94066afd","True"
"VSORRES","float","BiomedicalConceptProperty_122","BiomedicalConceptProperty","VSORRES","True","583d7999-ca61-4269-8c80-7ee530ae8b0d","True"
"VSORRESU","","BiomedicalConceptProperty_123","BiomedicalConceptProperty","VSORRESU","True","53635dc1-d877-49d8-a91a-ea118f2ad1c8","True"
"VSLOC","","BiomedicalConceptProperty_124","BiomedicalConceptProperty","VSLOC","True","8df3db96-511e-4034-8a98-ccdb076b6bf5","True"
"VSTESTCD","","BiomedicalConceptProperty_125","BiomedicalConceptProperty","VSTESTCD","True","91fe9427-5c66-47e1-8789-b963220a3b8a","True"
"VSORRES","float","BiomedicalConceptProperty_126","BiomedicalConceptProperty","VSORRES","True","9c9e9aed-97e4-4598-8b50-4980882b2552","True"
"VSORRESU","","BiomedicalConceptProperty_127","BiomedicalConceptProperty","VSORRESU","True","8ca34561-0140-4b4c-b798-dbba8e747af8","True"
"VSTESTCD","","BiomedicalConceptProperty_128","BiomedicalConceptProperty","VSTESTCD","True","6daf2f51-bf01-4d47-ab10-3b74ba6ae07b","True"
"VSORRES","float","BiomedicalConceptProperty_129","BiomedicalConceptProperty","VSORRES","True","596716ec-b14b-489d-af71-dc3335dddc8e","True"
"VSORRESU","","BiomedicalConceptProperty_130","BiomedicalConceptProperty","VSORRESU","True","995078e7-13d4-465d-ba9e-5849f8aca769","True"
"LBTESTCD","","BiomedicalConceptProperty_131","BiomedicalConceptProperty","LBTESTCD","True","d167b169-7581-4be0-8002-79354b1e3037","True"
"LBORRES","float","BiomedicalConceptProperty_132","BiomedicalConceptProperty","LBORRES","True","108450af-f956-4583-bdd6-8dec6bbdcb2d","True"
"LBORRESU","","BiomedicalConceptProperty_133","BiomedicalConceptProperty","LBORRESU","True","57fd956e-05ec-425f-859d-5ea134279049","True"
"LBSPEC","","BiomedicalConceptProperty_134","BiomedicalConceptProperty","LBSPEC","True","9ed60590-a976-45a2-8468-ee9c7c1ccc15","True"
"LBFAST","","BiomedicalConceptProperty_135","BiomedicalConceptProperty","LBFAST","True","0d86e079-0496-4047-b012-8bafcbb26aad","True"
