"label","id","instanceType","description","name","uuid:ID"
"IE Dictionary","SyntaxTemplateDictionary_1","SyntaxTemplateDictionary","Dictionary for IE","IE_Dict","9d341b00-5f40-4107-a078-faf588918924"
"Assessment Dictionary","SyntaxTemplateDictionary_2","SyntaxTemplateDictionary","Dictionary for Study Assessments","AS_Dict","53af972b-4fd4-4568-8efa-e81f42eb87ef"
